district,sum_2023,sum_2024,sum_2025,cagr
가산동,239073,208398,161105,-0.17910191230263173
구로3동,236059,248699,255619,0.040605900796267136
금호1가동,120615,119150,113381,-0.030451629136526215
논현2동,177336,167245,196785,0.05341025379933617
대치4동,477395,477925,551581,0.0748941910570462
문정2동,153738,161812,173150,0.06125716277261084
방배1동,93611,88118,128230,0.17039209226446528
삼성1동,1385729,1117691,1084593,-0.11530362927835092
삼성2동,177336,167245,196785,0.05341025379933617
상암동,212345,190865,192199,-0.048618850316568096
서교동,2500141,2408900,2078514,-0.08821125727026069
서초2동,1965499,1736568,1643689,-0.08552168656698278
서초3동,126968,115467,125409,-0.0061583045539485015
성수동,1006577,920080,857329,-0.07710932918920621
송파2동,268656,245747,191893,-0.1548548683157005
신당동,205782,174850,177599,-0.0709981771932624
압구정동,802341,659799,559269,-0.16510688251262262
양평2동,307566,297814,302942,-0.007545553452155684
염리동,390052,382660,352206,-0.04975165801910009
용강동,345838,297860,295118,-0.07623502012730665
중림동,91219,85215,71190,-0.1165807814062999
청담동,219602,185528,180615,-0.09310133585931735
효창동,47531,41334,51298,0.03887128162977005
