날짜,가산동,구로3동,논현2동,대치4동,문정2동,방배1동,삼성1동,삼성2동,상암동,서교동,서초2동,서초3동,성수동,송파2동,신당동,압구정동,양평2동,여의동,염리동,용강동,중림동,청담동,효창동
2019-01-01,3.556032664,2.99537,2.11805,4.21014,2.24783,2.16996,19.27529,1.47952,4.16342,41.77437547,3.67024,26.87016,15.40777,0.67486,0.86694,8.768098228,3.10958,9.313181926,2.21149,1.45356,0.33224,5.58064,0.48279
2019-01-02,3.447020234,3.338,3.50931,5.88174,2.22187,1.95711,14.52006,2.27378,3.26013,39.25140289,3.6339,36.60385,10.15937,0.69563,0.87213,10.79270705,2.741,7.999782573,2.69947,1.24591,0.49836,5.1861,0.353
2019-01-03,3.800022731,3.73254,3.90385,6.78502,2.85521,2.43471,17.99304,3.10958,3.6391,41.59786987,4.21014,41.14623,11.42085,0.68006,0.99153,12.05938257,3.23417,10.16455511,3.30685,1.6093,0.59699,6.13092,0.37896
2019-01-04,4.428177227,4.63583,4.67216,6.84732,3.33281,2.84483,20.03841,3.26532,3.81041,48.4503962,5.25359,46.82552,13.09245,0.79946,1.0694,13.85038582,3.92462,10.57467559,4.05959,1.94673,0.60219,7.08612,0.37896
2019-01-05,4.480085244,3.9973,4.59949,6.74868,3.08363,2.57488,25.68135,2.78772,4.02844,65.22868064,5.91808,47.66131,19.60234,0.94481,1.64045,17.74905267,4.1115,11.26511586,3.96615,2.0246,0.58661,8.43586,0.39973
2019-01-06,3.883081066,2.9227,2.89155,5.05632,2.83964,2.45548,20.12666,1.89482,3.84156,49.1667936,5.62736,34.19508,16.78347,0.88252,1.32897,13.21704598,3.43144,9.588322715,2.88636,1.56777,0.4153,7.03421,0.53989
2019-01-07,3.670243391,3.65986,3.69101,6.18802,2.67351,2.34646,14.60312,2.40357,3.56123,37.60060128,4.62025,36.7492,11.6337,0.80465,0.96558,10.80309666,3.43664,9.053624941,3.21341,1.63525,0.62295,5.94922,0.41011
2019-01-08,3.753300327,3.85713,4.3555,7.00306,3.17188,2.43991,17.68156,2.94865,4.26205,39.25142875,4.94211,39.21507,12.48507,0.76831,0.88771,11.92441117,3.54046,10.02959424,3.58199,1.85848,0.63852,6.48393,0.37377
2019-01-09,3.862322304,4.01806,4.39183,6.73311,3.08882,2.54892,18.55889,2.77215,3.89866,39.56288408,5.87655,41.19296,10.9744,0.76831,1.07979,12.78616966,3.53008,9.500069193,3.24975,1.84291,0.64891,6.14649,0.48279
2019-01-10,4.490462106,3.90385,3.9921,6.84732,3.04729,2.64237,19.41545,2.88636,3.83117,41.45769396,6.75388,40.14431,11.74271,0.68006,1.03825,13.20664928,3.96615,10.22685086,3.59757,1.89482,0.6541,6.27628,0.31666
