날짜,가산동,구로3동,금호1가동,논현2동,대치4동,문정2동,방배1동,삼성1동,삼성2동,상암동,서교동,서초2동,서초3동,성수동,송파2동,신당동,압구정동,양평2동,여의동,염리동,용강동,중림동,청담동,효창동
2023-01-22,406.0,503.0,359.0,156.0,505.0,169.0,226.0,3573.0,156.0,471.0,7253.0,3509.0,189.0,2854.0,901.0,486.0,1645.0,455.0,0.0,834.0,915.0,109.0,719.0,82.0
2023-01-23,639.0,665.0,494.0,298.0,837.0,233.0,302.0,4683.0,298.0,602.0,10395.0,5083.0,180.0,3565.0,1330.0,551.0,2335.0,663.0,4082.0,1094.0,1342.0,180.0,825.0,149.0
2023-01-24,563.0,439.0,344.0,277.0,950.0,220.0,246.0,4323.0,277.0,479.0,8072.0,5160.0,206.0,2534.0,892.0,360.0,1986.0,519.0,3173.0,825.0,937.0,165.0,844.0,87.0
2023-01-25,645.0,612.0,321.0,531.0,1535.0,392.0,238.0,3217.0,531.0,541.0,7883.0,6904.0,390.0,2380.0,745.0,419.0,2229.0,855.0,3862.0,1062.0,921.0,272.0,885.0,84.0
2023-01-26,829.0,755.0,316.0,704.0,1733.0,498.0,256.0,3406.0,704.0,641.0,8446.0,7960.0,457.0,2676.0,864.0,406.0,2589.0,964.0,4286.0,1252.0,986.0,297.0,986.0,118.0
2023-01-27,917.0,901.0,369.0,690.0,1722.0,501.0,300.0,4186.0,690.0,641.0,9434.0,8905.0,502.0,2973.0,863.0,439.0,3068.0,1020.0,4536.0,1357.0,1045.0,279.0,1016.0,130.0
2023-01-28,762.0,656.0,412.0,569.0,1293.0,341.0,332.0,5252.0,569.0,643.0,11219.0,7942.0,413.0,3838.0,1154.0,522.0,3429.0,835.0,4390.0,1154.0,1179.0,279.0,1108.0,156.0
2023-01-29,696.0,583.0,376.0,427.0,1036.0,264.0,278.0,3865.0,427.0,516.0,9692.0,5958.0,322.0,3426.0,989.0,456.0,2703.0,683.0,3872.0,1057.0,1075.0,219.0,841.0,145.0
2023-01-30,756.0,652.0,359.0,583.0,1580.0,446.0,249.0,3198.0,583.0,664.0,8237.0,7515.0,429.0,2953.0,805.0,430.0,2501.0,1003.0,4199.0,1167.0,1023.0,322.0,902.0,122.0
2023-01-31,867.0,703.0,357.0,643.0,1935.0,518.0,271.0,3661.0,643.0,742.0,7900.0,7475.0,449.0,3001.0,869.0,463.0,2664.0,1033.0,4362.0,1263.0,979.0,339.0,957.0,135.0
2023-02-01,842.0,721.0,334.0,654.0,1666.0,525.0,321.0,5037.0,654.0,622.0,8147.0,7616.0,438.0,2972.0,756.0,526.0,2607.0,1099.0,4465.0,1264.0,938.0,358.0,931.0,120.0
2023-02-02,799.0,781.0,341.0,671.0,1627.0,526.0,333.0,5261.0,671.0,636.0,8289.0,7845.0,484.0,2915.0,847.0,570.0,2658.0,1028.0,4505.0,1338.0,1161.0,299.0,847.0,122.0
2023-02-03,814.0,946.0,391.0,711.0,1713.0,604.0,325.0,4790.0,711.0,688.0,10040.0,8758.0,476.0,3358.0,929.0,702.0,3231.0,1105.0,4778.0,1542.0,1233.0,362.0,910.0,155.0
2023-02-04,780.0,722.0,409.0,561.0,1278.0,369.0,328.0,4476.0,561.0,633.0,12422.0,8195.0,378.0,4096.0,1164.0,628.0,3604.0,755.0,4407.0,1280.0,1246.0,280.0,1135.0,207.0
2023-02-05,571.0,532.0,356.0,468.0,916.0,340.0,290.0,3463.0,468.0,571.0,10768.0,5971.0,359.0,3695.0,989.0,635.0,2646.0,694.0,3962.0,1090.0,1221.0,190.0,1013.0,161.0
2023-02-06,876.0,690.0,366.0,657.0,1707.0,467.0,316.0,2963.0,657.0,617.0,8544.0,7755.0,510.0,2821.0,853.0,570.0,2587.0,1019.0,4505.0,1359.0,1036.0,325.0,906.0,118.0
2023-02-07,862.0,795.0,389.0,682.0,1745.0,559.0,302.0,3385.0,682.0,651.0,8421.0,7759.0,515.0,3134.0,894.0,524.0,2604.0,1088.0,4850.0,1483.0,1128.0,373.0,995.0,121.0
2023-02-08,865.0,749.0,315.0,678.0,1731.0,534.0,323.0,3854.0,678.0,675.0,8384.0,7741.0,522.0,3110.0,824.0,618.0,2634.0,1032.0,4777.0,1421.0,1041.0,367.0,835.0,118.0
2023-02-09,905.0,845.0,352.0,721.0,1759.0,549.0,352.0,4324.0,721.0,655.0,8663.0,7617.0,464.0,3200.0,807.0,632.0,2641.0,986.0,4829.0,1396.0,1145.0,386.0,899.0,130.0
2023-02-10,931.0,960.0,447.0,772.0,1781.0,585.0,384.0,5250.0,772.0,699.0,9895.0,8399.0,508.0,3421.0,980.0,526.0,3006.0,1055.0,4872.0,1512.0,1124.0,330.0,917.0,149.0
2023-02-11,755.0,740.0,482.0,578.0,1433.0,420.0,370.0,6830.0,578.0,789.0,12986.0,8305.0,416.0,4350.0,1262.0,680.0,3563.0,860.0,4914.0,1270.0,1431.0,243.0,1061.0,175.0
