"기준_년분기_코드","행정동_코드","행정동_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"20253","11740700","둔촌2동","HL","상권축소","120","52","113","53"
"20253","11740690","둔촌1동","LH","상권확장","29","65","113","53"
"20253","11740685","길동","LL","다이나믹","109","47","113","53"
"20253","11740660","성내3동","HL","상권축소","115","48","113","53"
"20253","11740650","성내2동","LL","다이나믹","111","46","113","53"
"20253","11740640","성내1동","HL","상권축소","115","51","113","53"
"20253","11740620","천호3동","LL","다이나믹","110","50","113","53"
"20253","11740610","천호2동","HL","상권축소","122","53","113","53"
"20253","11740600","천호1동","LL","다이나믹","113","46","113","53"
"20253","11740590","암사3동","LH","상권확장","98","54","113","53"
"20253","11740580","암사2동","HL","상권축소","117","51","113","53"
"20253","11740570","암사1동","LL","다이나믹","111","48","113","53"
"20253","11740560","고덕2동","LL","다이나믹","73","49","113","53"
"20253","11740550","고덕1동","LL","다이나믹","99","49","113","53"
"20253","11740540","명일2동","LH","상권확장","106","55","113","53"
"20253","11740530","명일1동","LL","다이나믹","106","49","113","53"
"20253","11740520","상일동","LL","다이나믹","94","50","113","53"
"20253","11740515","강일동","LL","다이나믹","71","44","113","53"
"20253","11710720","잠실7동","HH","정체","143","73","113","53"
"20253","11710710","잠실6동","LH","상권확장","108","56","113","53"
"20253","11710690","잠실4동","LH","상권확장","108","55","113","53"
"20253","11710680","잠실3동","HH","정체","119","67","113","53"
"20253","11710670","잠실2동","LL","다이나믹","98","46","113","53"
"20253","11710650","잠실본동","LL","다이나믹","103","49","113","53"
"20253","11710647","위례동","LL","다이나믹","57","32","113","53"
"20253","11710646","장지동","LL","다이나믹","107","50","113","53"
"20253","11710642","문정2동","LL","다이나믹","98","45","113","53"
"20253","11710641","문정1동","LL","다이나믹","111","51","113","53"
"20253","11710632","가락2동","HL","상권축소","116","51","113","53"
"20253","11710631","가락1동","HH","정체","200","119","113","53"
"20253","11710620","가락본동","HL","상권축소","114","46","113","53"
"20253","11710610","삼전동","LL","다이나믹","101","49","113","53"
"20253","11710600","석촌동","LL","다이나믹","105","47","113","53"
"20253","11710590","송파2동","LL","다이나믹","111","49","113","53"
"20253","11710580","송파1동","LL","다이나믹","102","48","113","53"
"20253","11710570","오금동","HL","상권축소","119","53","113","53"
"20253","11710566","오륜동","HH","정체","146","67","113","53"
"20253","11710562","방이2동","LL","다이나믹","99","50","113","53"
"20253","11710561","방이1동","LL","다이나믹","105","51","113","53"
"20253","11710550","마천2동","HH","정체","130","53","113","53"
"20253","11710540","마천1동","HL","상권축소","131","51","113","53"
"20253","11710532","거여2동","LL","다이나믹","105","53","113","53"
"20253","11710531","거여1동","HL","상권축소","120","52","113","53"
"20253","11710520","풍납2동","HH","정체","139","57","113","53"
"20253","11710510","풍납1동","HH","정체","145","55","113","53"
"20253","11680750","수서동","HH","정체","128","58","113","53"
"20253","11680740","일원2동","HH","정체","132","59","113","53"
"20253","11680730","일원1동","HH","정체","122","55","113","53"
"20253","11680720","일원본동","HH","정체","122","59","113","53"
"20253","11680700","세곡동","LL","다이나믹","88","47","113","53"
"20253","11680690","개포4동","HL","상권축소","123","51","113","53"
"20253","11680670","개포2동","LL","다이나믹","98","53","113","53"
"20253","11680660","개포1동","LH","상권확장","113","62","113","53"
"20253","11680656","도곡2동","HL","상권축소","118","52","113","53"
"20253","11680655","도곡1동","LH","상권확장","113","55","113","53"
"20253","11680650","역삼2동","LL","다이나믹","105","47","113","53"
"20253","11680640","역삼1동","LL","다이나믹","105","47","113","53"
"20253","11680630","대치4동","LL","다이나믹","96","47","113","53"
"20253","11680610","대치2동","HH","정체","120","54","113","53"
"20253","11680600","대치1동","HH","정체","117","56","113","53"
"20253","11680590","삼성2동","LL","다이나믹","105","48","113","53"
"20253","11680580","삼성1동","LH","상권확장","111","56","113","53"
"20253","11680565","청담동","LL","다이나믹","110","51","113","53"
"20253","11680545","압구정동","LL","다이나믹","107","49","113","53"
"20253","11680531","논현2동","LL","다이나믹","104","47","113","53"
"20253","11680521","논현1동","LL","다이나믹","108","47","113","53"
"20253","11680510","신사동","LL","다이나믹","103","49","113","53"
"20253","11650660","내곡동","HH","정체","138","68","113","53"
"20253","11650652","양재2동","HL","상권축소","143","53","113","53"
"20253","11650651","양재1동","HH","정체","114","54","113","53"
"20253","11650621","방배4동","HH","정체","121","58","113","53"
"20253","11650620","방배3동","HH","정체","134","60","113","53"
"20253","11650610","방배2동","LH","상권확장","107","56","113","53"
"20253","11650600","방배1동","LH","상권확장","111","53","113","53"
"20253","11650590","방배본동","HL","상권축소","123","51","113","53"
"20253","11650581","반포4동","HH","정체","145","65","113","53"
"20253","11650580","반포3동","HH","정체","124","65","113","53"
"20253","11650570","반포2동","LH","상권확장","94","60","113","53"
"20253","11650560","반포1동","LL","다이나믹","106","47","113","53"
"20253","11650550","반포본동","HH","정체","167","74","113","53"
"20253","11650540","잠원동","LL","다이나믹","112","51","113","53"
"20253","11650531","서초4동","HH","정체","117","54","113","53"
"20253","11650530","서초3동","HH","정체","120","55","113","53"
"20253","11650520","서초2동","LL","다이나믹","103","50","113","53"
"20253","11650510","서초1동","HH","정체","126","56","113","53"
"20253","11620775","난곡동","HH","정체","116","55","113","53"
"20253","11620765","미성동","HL","상권축소","118","53","113","53"
"20253","11620745","삼성동","HH","정체","143","60","113","53"
"20253","11620735","대학동","LL","다이나믹","106","46","113","53"
"20253","11620725","조원동","HL","상권축소","115","46","113","53"
"20253","11620715","난향동","LL","다이나믹","99","49","113","53"
"20253","11620695","신림동","LL","다이나믹","99","49","113","53"
"20253","11620685","신사동","LL","다이나믹","108","48","113","53"
"20253","11620665","서림동","LL","다이나믹","111","51","113","53"
"20253","11620655","신원동","HL","상권축소","114","49","113","53"
"20253","11620645","서원동","LH","상권확장","97","54","113","53"
"20253","11620630","남현동","LH","상권확장","104","54","113","53"
"20253","11620625","인헌동","LL","다이나믹","112","53","113","53"
"20253","11620615","중앙동","LL","다이나믹","111","49","113","53"
"20253","11620605","은천동","LL","다이나믹","105","49","113","53"
"20253","11620595","청룡동","LL","다이나믹","105","49","113","53"
"20253","11620585","낙성대동","LL","다이나믹","87","51","113","53"
"20253","11620575","행운동","LL","다이나믹","105","52","113","53"
"20253","11620565","성현동","LL","다이나믹","104","50","113","53"
"20253","11620545","청림동","LL","다이나믹","107","49","113","53"
"20253","11620525","보라매동","LL","다이나믹","108","50","113","53"
"20253","11590680","신대방2동","LL","다이나믹","107","53","113","53"
"20253","11590670","신대방1동","HL","상권축소","118","52","113","53"
"20253","11590660","대방동","HH","정체","120","55","113","53"
"20253","11590651","사당5동","HL","상권축소","114","51","113","53"
"20253","11590650","사당4동","HL","상권축소","115","51","113","53"
"20253","11590640","사당3동","HH","정체","117","53","113","53"
"20253","11590630","사당2동","LL","다이나믹","107","53","113","53"
"20253","11590620","사당1동","LL","다이나믹","103","51","113","53"
"20253","11590605","흑석동","LH","상권확장","110","57","113","53"
"20253","11590560","상도4동","HH","정체","115","54","113","53"
"20253","11590550","상도3동","HL","상권축소","118","52","113","53"
"20253","11590540","상도2동","LH","상권확장","112","60","113","53"
"20253","11590530","상도1동","LH","상권확장","105","56","113","53"
"20253","11590520","노량진2동","HH","정체","166","79","113","53"
"20253","11590510","노량진1동","HH","정체","126","66","113","53"
"20253","11560720","대림3동","HL","상권축소","120","47","113","53"
"20253","11560710","대림2동","LL","다이나믹","102","43","113","53"
"20253","11560700","대림1동","HL","상권축소","123","49","113","53"
"20253","11560690","신길7동","LL","다이나믹","107","52","113","53"
"20253","11560680","신길6동","HL","상권축소","116","52","113","53"
"20253","11560670","신길5동","LH","상권확장","110","55","113","53"
"20253","11560660","신길4동","HL","상권축소","121","51","113","53"
"20253","11560650","신길3동","HH","정체","123","58","113","53"
"20253","11560630","신길1동","HH","정체","136","56","113","53"
"20253","11560620","양평2동","HH","정체","116","53","113","53"
"20253","11560610","양평1동","LL","다이나믹","110","52","113","53"
"20253","11560605","문래동","LH","상권확장","110","55","113","53"
"20253","11560585","도림동","HH","정체","116","54","113","53"
"20253","11560560","당산2동","LL","다이나믹","104","52","113","53"
"20253","11560550","당산1동","LL","다이나믹","113","51","113","53"
"20253","11560540","여의동","HH","정체","114","53","113","53"
