"기준_년분기_코드","행정동_코드","행정동_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"20253","11740700","둔촌2동","129","5","4","1","","17","2","1","2","1","","","","","","","","","1","32"
"20253","11740690","둔촌1동","14","","","","","","","2","","1","","","","","","","","","1","6"
"20253","11740685","길동","242","6","10","1","4","34","4","3","1","","1","","","","","","","","1","36"
"20253","11740660","성내3동","136","4","5","","","13","2","","","","2","","","","","","","","1","13"
"20253","11740650","성내2동","113","2","3","","4","14","","","","","","","","1","","","","","3","16"
"20253","11740640","성내1동","98","6","4","","2","9","1","2","1","","1","","","1","","","","","","20"
"20253","11740620","천호3동","115","4","3","","2","14","","","1","","","","","","1","","","","","11"
"20253","11740610","천호2동","203","4","3","","1","26","1","1","1","","","","","","3","","","","","22"
"20253","11740600","천호1동","92","4","1","","","11","","1","1","1","1","","","1","","","","","1","11"
"20253","11740590","암사3동","50","2","1","","","5","1","","2","1","","","","","","","","","","12"
"20253","11740580","암사2동","61","1","3","","","6","1","2","","","","","","","","","","","1","6"
"20253","11740570","암사1동","90","2","1","","","8","1","1","","","1","","1","","","","","","","13"
"20253","11740560","고덕2동","78","3","1","","","9","1","2","1","2","","","","","","","","","1","25"
"20253","11740550","고덕1동","92","3","","","","4","1","2","1","1","","","","","","","","","1","26"
"20253","11740540","명일2동","107","3","6","","","18","4","2","","1","","","","","","","","","","18"
"20253","11740530","명일1동","151","5","6","","2","17","","1","","","","","","","","","","","1","22"
"20253","11740520","상일동","105","4","2","1","","8","4","2","2","5","","","","","","","","","","37"
"20253","11740515","강일동","187","5","3","","","12","2","2","2","1","","","","","","","","","3","79"
"20253","11710720","잠실7동","30","2","4","","","4","","1","2","1","","","","","","","","","2","3"
"20253","11710710","잠실6동","144","4","17","","1","23","","1","1","","","","","1","","","","","2","13"
"20253","11710690","잠실4동","74","3","3","","","10","1","2","","1","","","","","","","","","2","7"
"20253","11710680","잠실3동","103","5","9","","","11","1","3","","1","","","","","","","","","","16"
"20253","11710670","잠실2동","91","4","6","","","14","1","2","2","2","","","","","","","","","1","5"
"20253","11710650","잠실본동","192","5","9","","1","24","","1","","","","","","","","","","","1","12"
"20253","11710647","위례동","84","3","1","","","5","2","2","1","","","","","","","","","","","32"
"20253","11710646","장지동","136","4","3","","","10","1","2","1","3","","","","1","","","","","1","41"
"20253","11710642","문정2동","149","10","12","","1","22","","1","","","","","","2","","","","","3","14"
"20253","11710641","문정1동","70","3","1","","","5","1","1","1","","","","","","","","","","","19"
"20253","11710632","가락2동","143","3","6","","","17","4","2","1","","","","","","","","","","1","22"
"20253","11710631","가락1동","82","2","8","","","13","1","1","1","","","","1","","","","","","3","16"
"20253","11710620","가락본동","144","5","9","1","5","21","1","2","2","","","","","","","","","","","21"
"20253","11710610","삼전동","118","4","2","","","14","3","1","1","1","","","","","1","","","","1","12"
"20253","11710600","석촌동","159","3","7","","2","27","3","2","","","","","","","","","","","","20"
"20253","11710590","송파2동","79","3","1","","","11","3","1","2","3","","","","","","","","","","7"
"20253","11710580","송파1동","102","2","4","","3","14","1","1","","","","","","","","","","","2","13"
"20253","11710570","오금동","134","5","5","","","13","3","3","4","2","","","","","","","","","3","27"
"20253","11710566","오륜동","74","4","6","","","6","1","2","2","3","11","","","","","","","","3","15"
"20253","11710562","방이2동","164","3","5","","","18","","1","1","","","","","","","","","","1","13"
"20253","11710561","방이1동","73","2","1","","","10","2","2","1","1","","","","","","","","","1","11"
"20253","11710550","마천2동","93","3","2","","","14","","1","","","","","","","","","","","","12"
"20253","11710540","마천1동","73","4","1","","","8","1","1","","","","","","","1","","","","1","15"
"20253","11710532","거여2동","78","3","3","","1","12","1","1","1","","","","","","","","","","","11"
"20253","11710531","거여1동","48","2","","","","2","","1","","1","","","","","1","","","","1","6"
"20253","11710520","풍납2동","125","5","5","1","","26","2","2","3","1","3","","","","","","","","1","24"
"20253","11710510","풍납1동","48","3","","","1","6","1","1","","","","","","","","","","","","6"
"20253","11680750","수서동","89","3","3","","","11","2","1","1","2","","","","","","","","","2","23"
"20253","11680740","일원2동","66","3","3","","","6","2","1","1","","","","","","","","","","1","13"
"20253","11680730","일원1동","74","4","1","","","11","1","2","","1","","","","","","","","","","18"
