district,id,title,publishedAt,viewCount,likeCount,commentCount
구로3동,MfPvRM3Azs8,올 해 먹었던 짬뽕중 원탑 ! #짬뽕 #짬뽕맛집,2024-10-17T09:30:55Z,7402569,83164,476
구로3동,_LgVBUG8kwc,아직까지 변하지 않은 부동의 1위 피자집,2025-04-10T09:06:30Z,6657387,43595,925
구로3동,nkmV8WuKKY8,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40,2023-11-17T09:28:12Z,2682341,24484,2549
구로3동,FVU_AYFpnMY,불법영업이 의심스러운 미친맛집!?,2025-05-11T10:54:26Z,1566108,4360,206
구로3동,H8kJSOD_JAY,서울 중식 맛집은 이 영상으로 해결하세요 !,2025-06-02T09:50:02Z,1689704,14076,135
구로3동,W3mULF-Iq-8,안주 역대급 가성비.. 심지어 블루리본 노포,2025-07-26T08:15:36Z,691978,1212,98
구로3동,s7iWkWIpKXA,점심에 구디 직장인들로 가득한 곳  #서울맛집 #무한리필 #스시맛집 #초밥맛집 #sushi #寿司 #뷔페 #맛집공유 #맛집추천 #맛집소개,2024-09-15T04:25:01Z,355958,2072,63
구로3동,HdpRvWKjzIk,"[구디 맛집] 53년 내공의 간짜장… 2025년 제가 뽑은 1등 중국집, 이 맛은 충격이었다!",2025-08-14T08:45:01Z,126279,1717,140
구로3동,SN2JfPuc93Q,🔥9천원에 이게 다 무한리필이라고요?,2025-11-20T02:19:19Z,217259,1060,63
구로3동,3IQFLM_ZV5c,서울 구로디지털단지 맛집 Best 11,2025-11-12T11:47:54Z,90875,1455,256
구로3동,gKWV0GhAXJM,"💥구디단 직장인들 필수시청💥 구디 4,000원 갓집 찾았습니다 l 한끼오천원",2025-04-25T09:01:00Z,65137,873,134
구로3동,PRHuDubu8DQ,안보면 후회하는 구로 필수 맛집 모음 [2025년 상반기],2025-04-14T09:21:47Z,94135,1231,38
구로3동,BYIMUC5BBew,노쇼는 이제 그만!! #한옥집숯불갈비 #독산동맛집 #구디맛집 #갈비맛집 #금천구맛집,2025-11-19T12:02:37Z,85549,285,11
구로3동,uwx2G30rFuE,"[구디 찐맛집] 노포 횟집에서 물회랑 멸치무침에 한 잔! (이 조합, 당신도 반할걸?)",2025-06-19T11:01:36Z,30216,530,49
구로3동,DlozwtU9S8Y,야한 거 좋아하면 여기 가서 이걸 꼭.. #88갈비 #떡볶이 #tteokbokki #koreanfood #소갈비 #선지국 #구디맛집 #구디맛집추천 #구로디지털단지맛집 #구디역맛집,2025-01-23T12:19:14Z,36505,197,3
구로3동,VrMJns91yO8,구로디지털단지에서 제일 핫하다는 연유크림빵을 드셔보셨나요?! #구로디지털단지,2025-03-13T08:42:03Z,31481,421,6
구로3동,kg_4PyJ4NeM,야장 감성 흘러나오는 구로디지털단지역 갈비집,2023-05-19T08:30:09Z,25236,308,24
구로3동,agPckhumv-A,처음부터 끝까지 모든 고기가 구워나오는 갈비 맛집 88갈비 구로디지털단지점 서울 관악구 조원중앙로1길 46 1층#구디맛집#구로맛집#구로맛집추천#구로디지털단지역맛집#신림맛집#88갈비,2025-03-20T10:10:05Z,29938,128,4
구로3동,p9oda1rIB1s,24시간 공복 후 만나는 옛날짜장과 라면! 구로디지털단지 맛집! 기사님분식24,2023-02-16T12:00:36Z,20135,755,62
구로3동,RfmtH1ck3f8,"[깔깔거리보다 별이 빛나는 거리가 어떨지? 구디단 맛집 16선, #37]",2024-06-29T15:47:34Z,20115,117,31
구로3동,yJy9XhYvu_Y,굿바이 구디 떠나는김에 단골 대방출,2023-05-01T09:32:55Z,19619,77,38
구로3동,JA7SXIEnUAQ,구디 직장인 추천 갈비맛집🫣#관악구맛집 #구디맛집 #구로디지털단지맛집 #구로디지털단지맛집추천 #구디맛집추천 #갈비맛집 #bts,2024-07-22T12:35:16Z,24389,136,5
구로3동,S82teFMqbUw,#식사제공 공짜 좋아하면 여긴 한 번 꼭가봐야함 #구디맛집 #구로디지털단지 #독산동맛집 #독산동,2024-08-31T04:48:50Z,22897,97,3
구로3동,CCtpsCxPUrQ,살다살다 특허까지 받은 짬뽕은 처음이네요! 이비가짬뽕 구로디지털점 #구디맛집 #구로디지털단지역맛집 #구로짬뽕 #구디짜장면 #구로디지털단지맛집 #구디점심 #이비가짬뽕,2024-09-27T11:15:25Z,18965,85,11
구로3동,xAy2m3kDp3U,다찌 앞에 이거 뭔데?? #로바다야끼소담 #소담 #구디맛집 #구로맛집 #이자카야 #구로디지털단지역,2025-10-18T07:49:40Z,28231,166,11
구로3동,1cHlMgoa-lw,봄봄 프리미엄 한식뷔페 구로디지털 단지역 이런 점심이 있다고?,2025-09-05T09:46:18Z,12693,255,60
구로3동,Vjhvn-XablY,단골집 사장님한테 사기 당했습니다 #석쇳집 구디 #구디맛집 #구로맛집 #구로맛집추천 #구디맛집추천,2024-12-04T03:17:31Z,13971,69,7
구로3동,iosjF7Y8KnU,야한 떡볶이? #88갈비 #구디 #구디맛집 #구로디지털단지역 #구로디지털단지 #떡볶이먹방 #떡볶이맛집 #가래떡 #가래떡먹방 #가래떡떡볶이 #가래떡떡볶이먹방 #갈비먹방 #갈비맛집,2025-03-18T04:05:55Z,12960,76,2
구로3동,SGWiLL5GxVo,생기자마자 벌써 인파가 어마어마한 국밥집 #구디맛집 #순대곱창전골,2025-07-15T09:34:45Z,20839,96,5
구로3동,grrYXhZWyyA,"구디역 빵지순례 필수코스, 연유에 절여진 빵⁉️",2024-09-26T03:01:57Z,10199,111,4
구로3동,FC1fzb2iOH4,이렇게 맛있는 걸 왜 모르고 살았던 걸까요? (구로디지털단지 맛집),2025-11-24T09:30:16Z,8120,217,42
구로3동,wQNbBDsRZKs,구디 직장인들이 자주 가는 통닭 맛집.,2025-09-24T08:12:28Z,16125,164,3
구로3동,H2kUGIPM0f0,구디 신상 술집 떴다 #전성기연 #구디 #구디맛집 #구로디지털단지 #구로디지털단지역 #구로 #서울맛집 #서울먹방 #서울여행 #서울데이트 #회먹방 #구로맛집 #횟집 #갈비먹방 #갈비,2025-04-11T10:29:52Z,16004,44,3
구로3동,U98iX9X_aKI,문어가 이렇게 부드러울 수 있나 ???  #문어구이#구디맛집#서울맛집,2024-07-27T04:00:27Z,7592,286,18
구로3동,x2x1I1w3bwk,구디 직장인 찐맛집 소보로 곱창을 아세요? 한 번 먹으면 계속 가게 될 맛집,2025-03-25T01:58:24Z,7860,34,1
구로3동,Yrbe0GZG0io,이제 찾기 힘든 초밥 무한집🍣 #초밥뷔페 #구디맛집 #갓파스시,2023-07-08T18:02:54Z,7977,45,5
구로3동,LHrOnAZsKSo,AI가 고기를 굽는다구요?월화식당 구로디지털단지역점 #솥뚜껑삼겹살맛집 #구디맛집 #구디핫플 #삼겹살맛집  #월화식당,2025-05-03T10:22:57Z,14252,10,1
구로3동,aL2s2afsH50,구로디지탈단지 근처 맛집  BEST 3,2025-07-22T23:36:29Z,6535,112,175
구로3동,jIo3yzVqbDI,"구디 완전 신상 술집, 한복 입은 직원들이 서빙해주는 궁중식 연회요리 #전성기 #전성기연 #구디맛집 #구디술집",2025-04-14T08:30:20Z,11954,26,0
구로3동,hQAp7zeEhUI,#구로디지털단지맛집 #구디맛집 #구로구맛집 #구로동맛집 #구디맛집추천 #구로구맛집추천 #퓨전한식주점 #푸드 #food #foodie #음식리뷰,2025-03-16T14:35:01Z,7631,36,4
구로3동,UP4N_CIW9Sw,구디에서 연유빵을 주문하면 생기는 일,2025-09-15T03:00:30Z,12226,167,4
구로3동,SZJ4qB5W_lA,땡초라면 100원에 주는 신상술집?! #구디맛집 #술안주,2025-02-26T07:59:29Z,6010,35,1
구로3동,xVde0wd72mk,구로디지털 단지의 축복 #동해반점,2024-03-17T11:30:12Z,5863,46,4
구로3동,yNd4l4vUFu0,현재 구디 직장인들의 퇴근 후 성지?! #관악구맛집 #구디맛집 #구로디지털단지맛집 #구로디지털단지맛집추천 #구디맛집추천 #구로맛집 #칼국수맛집 #칼국수,2025-07-04T13:13:48Z,11144,30,2
구로3동,V9oaW2p0v0w,여기는 웨이팅 생기기 전에 무조건 빨리 가야 합니#소선📍 서울 구로구 구로동 1124-54#구로맛집 #구로맛집추천 #구디맛집#구로디지털단지맛집 #구로디지털단지역맛집 #디역맛집,2025-10-22T13:06:50Z,11345,56,2
구로3동,NYCNKG7iBm4,일본 아닌 서울 구디 이자카야,2025-07-18T00:23:10Z,12535,,6
구로3동,2djSazDcboE,AI 그릴링 시스템 구디 웨이팅 고깃집 #월화식당 #솥뚜껑삼겹살맛집 #구디맛집 #구디데이트,2025-04-26T07:36:11Z,8944,20,2
구로3동,En2C-m98rW8,구디에 수많은 가게 중 1등인 곳,2025-09-29T09:54:57Z,9383,83,1
구로3동,ZXb7ue0rRpQ,마! 정통파 아이가~! 구로디지털 정통 이탈리안 맛집 [라마노피자] (ENG Sub),2023-06-30T01:35:47Z,4364,17,3
구로3동,3mAouT6zjRM,조식 포함 10만원대! 롯데시티호텔 구로 1박 후기~조식뷔페 후기포함 + 구디맛집리뷰~,2024-12-18T12:10:56Z,4318,19,3
구로3동,OSy1m0fS9Sk,2만원대 '수제 두부삼합' 구디 가성비 노포맛집,2023-03-22T13:01:01Z,4347,25,8
구로3동,g2xE8TDm2Zg,[구디맛집] 영양 만점 솥밥에 누룽지까지... 두 그릇 정말로 싹싹 비우게 됩니다!,2025-05-05T11:01:10Z,4106,899,10
구로3동,-fcU_CY41ac,[🚨속보🚨] 구디역 연예인맛집 추천! #food #맛집 #koreanfood,2025-12-01T04:54:57Z,6768,13,1
구로3동,vpjOhtyFZIY,최고의 가성비를 자랑하는 정육식당!! 구로디지털단지 고기집 장군한우 정육식당에서 가성비한우 먹고왔어요!,2023-07-28T13:14:49Z,3902,10,8
구로3동,pqyZnlWnue8,"친구 생일파티 때 가기 딱 좋은 구디 신상술집, 술찬당",2025-01-31T09:15:50Z,4284,44,2
