district,id,title,publishedAt,viewCount,likeCount,commentCount
논현2동,zCYgokuaenY,성시경의 먹을텐데 l 논현동 홍명 1탄 (with. 싸이),2023-04-26T09:00:09Z,4434785,45602,2709
논현2동2,zd4V8QU_rEs,혼놀달인의 강남에서 여긴 꼭 가보셔라,2023-10-18T13:15:40Z,2069605,,81
논현2동,oy9s39GcaJE,51만 유튜버 비밀이야 근황 ㄷㄷ  #shorts #맛집 @bimirya,2025-08-12T08:25:50Z,674888,8381,141
논현2동,8JQNbjWEze0,[sub] 성시경의 먹을텐데 l 논현동 청석골,2025-10-14T09:00:06Z,582239,8543,873
논현2동,pSz34AEKx58,[sub] 성시경의 먹을텐데 l 학동역 향동가,2025-04-03T09:00:06Z,451331,6826,449
논현2동,8OUlYYbSQac,인당 38000원에 20가지 요리가? 역대급 해산물 코스요리!,2024-01-17T10:00:13Z,443750,4980,115
논현2동2,E67mxcbxnjI,"압도적인 맛, 인당 125,000원 국내 1황 야키토리 오마카세",2025-12-02T08:35:56Z,237603,1993,129
논현2동,odTOfXFvf0M,[차담:소담] 42. 학동역 차쟁이들 주목! 라오상하이,2025-06-17T12:34:28Z,218704,5192,66
논현2동,En_2EZAIc-Y,"이건 두번째 레슨, 학동에서 국밥만 시키지 않기",2025-07-11T07:00:12Z,207783,365,4
논현2동2,DtK3dDYdBbg,서울 강남구 맛집 TOP10 (티맵랭킹),2025-08-26T08:51:23Z,206594,518,6
논현2동2,BEnXJRoH8UY,또 다른 강남맛집 있다면 추천해줘!,2024-12-29T11:08:39Z,157813,3034,12
논현2동2,2BufsdXheVw,서울 강남구 청담역 맛집 Best 10,2024-07-09T02:29:09Z,149964,1854,156
논현2동2,G8X77LkNh28,강남 사람들이 몰래간다는 강남맛집 총정리!!,2024-12-24T09:19:14Z,136650,820,11
논현2동2,ImSQVPxpd7o,네이버 평점 의미 없습니다 | 강남역편,2025-03-01T11:00:32Z,121428,1986,134
논현2동,25Ejy2AtvyE,논현동 치트키 맛집들 소개드립니다,2025-05-12T02:30:04Z,41560,189,2
논현2동2,xbz3TE92WVA,강남구청역 아시안 화덕 바베큐 맛집,2024-03-23T08:00:36Z,35625,386,4
논현2동,VFKW1XMRpI0,먹을텐데에 나온 중식당은 과연..?,2024-08-08T12:18:54Z,32990,166,10
논현2동2,QADiD7Y18ak,75만 유튜버도 극찬한 미슐랭 돼지고기🍖🔥#정육왕맛집 #강남구청맛집 #미슐랭한식 #가브리엘소스 #돼지고기맛집 #픽살기존맛 #강남고기맛집 #돼지목살맛집 #원픽버거 #서울맛집탐방,2025-06-01T22:45:03Z,32151,52,8
논현2동,GwkSK5BZEYo,스타맛세권먹어보쇼 나온 학동역 맛집 부엉이 돈가스에서 눈꽃치즈돈카츠 정식 한 입,2023-08-19T14:16:23Z,25951,89,12
논현2동,PdL73f_6p68,놓치면 후회하는 강남 갓성비 해물포차 [ft 멍게비빔밥],2025-08-09T04:03:48Z,25770,287,110
논현2동2,xK87KFVbanQ,요즘뜨는 중식당 맛집,2025-01-23T09:00:58Z,24636,299,18
논현2동2,9wigT8Kq9cE,75만 유튜버도 극찬한 미슐랭 돼지고기🍖🔥#정육왕맛집 #강남구청맛집 #미슐랭한식 #가브리엘소스 #돼지고기맛집 #픽살기존맛 #강남고기맛집 #돼지목살맛집 #원픽버거 #서울맛집탐방,2025-06-01T13:38:11Z,19512,,5
논현2동,6t2fssXbo9I,겨울철 학동 필수 맛집,2025-12-02T02:18:02Z,19201,116,4
논현2동2,BFp9ccFLOhE,"서울 한복판에서 만난 제철 대하 소금구이, 강남구청 창우수산",2023-11-30T09:00:08Z,17769,398,82
논현2동2,m4_wuQCcLf4,간짜장에는 당연히 후라이다ㅣ중화백반 강남구청점,2025-07-01T11:27:49Z,15204,42,6
논현2동,-ClAKCzwvVg,#진미평양냉면 #평양냉면맛집 #논현맛집 #학동역맛집 #평양냉면,2024-04-09T11:55:25Z,14845,95,7
논현2동2,58UcEx-oZPQ,강남구청역 노포 분위기 오픈런해야 먹을수 있는 포뜬 산오징어회🦑 #맛짱조개 #shorts,2025-05-06T04:33:56Z,13858,119,15
논현2동2,86shD47KIr0,남녀차별한다는 논란의 칼국수집 양차이 #강남맛집 #강남구청 #칼국수맛집 #신동엽맛집,2024-08-27T00:30:07Z,11997,127,9
논현2동2,Wb7j7xrhbE8,강남 한복판에 나타난 찐 대만 #강남맛집 #강남술집 #강남구청맛집 #우육당 #우육면,2024-08-06T07:45:05Z,11500,55,1
논현2동2,8l8WsZVxPVE,얼마전 광마니님도 방문한 강남구청역 맛집. 신동엽님의 단골 칼국수 맛집 정가네 손칼국수.#정가네 손칼국수 #강남구청맛집 정가네손칼국수 #연예인맛집.,2023-12-11T09:53:54Z,11261,67,3
논현2동2,dWV3FRLSjfM,❣️원픽❣️#강남구청맛집 #강남구청돼지고기 #강남구청역맛집 #강남구청역삼겹살 #강남구청역고기집 #강남구청역목살 # 강남구청목살 #임상현쉐프 #강남구청역회식 #강남구청역모임,2025-05-03T03:30:12Z,11061,31,0
논현2동2,qoQrJGn3DhE,저세상급 불맛 지리는 중화국밥맛집 (강남구청 중화백반),2024-12-26T04:27:56Z,11033,42,1
논현2동,jEO7luUdiAI,학동수제비 김치수제비 들깨감자옹심이 학동역맛집 #salaryman #koreanfood #gangnam #korea #강남맛집 #seoul #논현동맛집 #수제비맛집,2023-08-18T07:39:38Z,10770,42,4
논현2동,LcFEumeUUaQ,논현동 맛집 TOP20,2024-06-24T09:00:16Z,10198,26,1
논현2동2,jytjZ-qMdIY,#서울 #강남 #강남구청역 #압구정 #압구정로데오 #카이센동 #장어덮밥 #우나기동 #점심,2024-04-28T02:56:40Z,10182,67,9
논현2동2,HAdpGXUIxr4,@맛짱갈사람 줄서세요🥹웨이팅으로 악명이 자자하던 맛짱조개가 넓고 쾌적한 곳으로 확장 이전했다네요~! #오징어회 #오징어맛집 #논현맛집 #논현동맛집 #논현동술집 #강남구청역맛집,2024-12-26T12:23:41Z,9992,49,3
논현2동2,SOwUSqIL5tw,강남구청역 도리토리에서 한잔,2023-09-30T09:57:53Z,9582,135,35
논현2동,vSqbIXE0cd8,와..여기 학동역 수제비 아직 안 드셔보셨어요? 여기 수제비 먹으면 다른집 수제비 못먹습니다(진짜 미쳤습니다),2024-09-05T11:34:59Z,9442,66,5
논현2동,ePX0SMz0HH0,학동역 점심 맛집 TOP 10,2023-06-17T11:30:13Z,9332,47,4
논현2동,N6zw-XNBp98,술튜버가 술로 혼나고왔습니다 학동역맛집 맛짱조개,2024-08-14T09:00:17Z,8786,301,88
논현2동2,qS_wDAkOZFg,강남구청 주무관이 간다! [영동올뱅이집편],2025-04-18T02:39:52Z,8430,95,3
논현2동2,TRcc_oR-uhQ,성시경 먹을텐데 강남맛집,2024-03-07T11:00:21Z,8027,54,1
논현2동2,4auzbQ70beg,순대 먹으러~ 가볼까? 그런 날 있잖아! 닥쳐 이 뵹띤아~ 강남구청역 최애 순대국 먹으러 #백암왕순대 #강남구청맛집 #논현동맛집 #순대국맛집 #백암순대 #내느낌이그래,2025-04-13T01:21:12Z,7889,34,4
논현2동2,Sxr1GC96HvQ,해장하러 갔다가 취해서 나오는 곳😯#강남구청역 #중화백반 #학동역맛집 #강남맛집,2025-02-18T05:15:46Z,7850,17,1
논현2동2,2l27dNJ4s8Q,강남구청역 직장인이라면 무조건 안다고 봐야지 #팔당족발 #족발 #맛집 #shorts  #koreanfood,2024-05-07T22:53:18Z,7758,39,1
논현2동,X4SYNotqMBU,학동역맛집 류몽민 #mukbang #먹방 #허미노 #배고파 #좋았다,2025-02-21T10:33:57Z,7551,137,1
논현2동,EarO753s5_E,"국물이 생각나는 학동역 맛집, [그림나베]",2023-11-10T01:00:09Z,6429,6,2
논현2동,EaZbIGptR3k,술꾼들의 마지막 안주 학동역 논현감자탕#강남맛집 #논현동,2024-07-24T14:50:46Z,6153,32,3
논현2동,ic8_zbydaJ0,논현동 맛집 TOP5,2024-06-24T03:00:23Z,5918,27,0
논현2동2,PS_bG8Fr45c,강남구청역 한우 투뿔 😉💗 #shortvideo #shrots #koreanfood #foodshorts,2024-06-24T04:16:05Z,5792,19,5
논현2동2,777zNaddD_k,불금엔 강남구청으로🏃‍♀️ 해산물러버라면 #맛짱조개 🐚🦪 찐맛집추천 #서울맛집 #안주추천 #강남구청맛집 #서울오징어,2025-10-16T05:23:37Z,5240,44,0
논현2동2,WQO0Jx30bvc,친구 한 명만 데려가도 대관이 되는 식당 - 강남구청역 [스시 료마],2025-06-30T09:00:48Z,4743,91,49
