district,id,title,publishedAt,viewCount,likeCount,commentCount
문정2동,gZ6b96kv6mU,해장국 좋아하는 사람중 여기 모르는 사람 없다고 한다,2024-06-03T13:15:34Z,4588746,47372,1365
문정2동,w-99a_dPVvQ,돈있어도 못먹는 1시간이면 다팔리는 맛집,2024-08-08T11:41:32Z,2682053,14649,763
문정2동,7jIjN8cjchQ,서울에서 가장 예약하기 힘들다는 고깃집,2024-06-26T03:00:04Z,2180975,14094,556
문정2동,A5M4GiroOpI,션 가족 찐애정 맛집! 서울 35년 전통 고깃집 리뷰 (6인분 먹방),2025-02-16T08:00:11Z,1287284,16598,685
문정2동,xZUaA5mmRl0,12000원에 이게 다 무제한이라고?😳,2024-07-25T03:20:58Z,1279404,5171,200
문정2동,P0YlVp-tneY,4000원에 무한리필??! 서울 떡볶이 맛집 8곳 알려드릴게요 #서울여행 #서울가볼만한곳,2024-03-05T12:30:20Z,896531,13174,270
문정2동,7xVxtvmEISI,이거 먹으러 2시간 기차타고 다녀왔습니다,2025-10-02T09:15:01Z,872203,10077,1846
문정2동,vJT_Hs4VHMI,안 보시면 손해가 맞습니다.,2025-04-04T09:01:17Z,712597,15858,456
문정2동,rI-aRjHLi1w,성북동 아무도 말 안 해주는 보물 맛집 볼거리 다모음 I 서울데이트 서울맛집,2025-07-05T07:32:11Z,530746,11502,551
문정2동,vtP6PFat6PM,오픈 2시간 완판!😲 오픈런 해야만 빵 살 수 있는 송파구 대장 빵집은 어디?!! 대결 빵 대~ 빵🍞 EP1 (크루아상 바게트 무화과깜빠뉴 키쉬 플랑 잠봉뵈르) [ENG],2025-04-04T08:30:26Z,402883,3822,229
문정2동,Nl_ZDEGFAbY,나혼자 서울여행vlog🍖서울최대! 경동시장 맛집 풀코스 • 황해도순대·남원통닭·감초식당·스타벅스1960···! 포차라면으로 디저트까지 마무리 - 서울여행vlog(3),2025-09-02T08:00:21Z,310024,4290,284
문정2동,u1FobqTpxJ4,송파구 맛집 칵테일바,2025-05-10T02:30:43Z,201235,4188,42
문정2동,6QhuumMnwwg,백종원도 극찬한 국물떡볶이 최강자,2024-08-20T12:58:55Z,179240,1340,49
문정2동,vef694Ok3yQ,백종원이 그릇째 들고 마시고 싶다고 한 떡볶이 헤이러도 단골로 만드는 곳? 서울 3대 국물떡볶이 #가성비 #떡볶이 #분식 #간식 #맛집 #서울맛집 #길거리음식 #야식  #먹거리,2025-02-01T09:46:30Z,165572,1069,57
문정2동,yYAixlEQ-3Q,오픈전부터 줄서는 서울 3대 국물떡볶이,2025-04-01T09:30:32Z,106474,183,14
문정2동,8G6LMxnwCmM,[우리동네 맛집] 송파구 맛집은 어디야? #맛집,2024-11-04T06:40:09Z,105190,668,45
문정2동,5JsenFuP9_s,8천원에 생맥주 무한리필 치맥+한식뷔페 #일루한식뷔페 #문정동맛집 #한식뷔페 #가성비맛집 #무한리필맛집,2024-03-24T22:21:35Z,76875,631,29
문정2동,EKThHNozqXs,생맥주 무한리필 한식뷔페 8천원 #일루한식뷔페 #문정동맛집 #한식뷔페 #shortvideo #쇼츠,2023-08-28T22:47:00Z,76427,557,32
문정2동,nzfYZrZJ-Io,송파구 #문정동 함바 #구내식당 가성비 맛집 #더쿠킹스토리 치킨 돼지갈비 짬뽕순두부가 한상차림!,2023-01-05T12:50:55Z,59569,211,23
문정2동,HSOUm4ejcc4,"흑백요리사2 본선 뚫은 순대집, 솔직히..",2025-12-27T00:43:12Z,57195,430,18
문정2동,0DqhA60dBDM,강동구 맛집 TOP 10 #강동구맛집 #여행 #맛집,2025-05-29T11:15:00Z,54938,319,31
ㅌ문정2동,i83qhbO6ysY,"로컬 변호사가 추천하는👍 서울동부지방법원 맛집 TOP 5 (a.k.a. 문정 맛집, 송파 맛집) [히어로이어]",2024-02-01T07:00:17Z,44299,,57
문정2동,Lr-_KbegrBs,송파구 맛집 TOP20,2023-07-02T09:00:19Z,31527,96,6
문정2동,HmKipQslKnI,vlog | 직장인 브이로그 | 문정역 장어덮밥 맛집 !🐟 | 우리집 제니(feat.죄니) | 맛집 네이버 서치 방법 ㅎ | 입 터진 일주일 | 직장인 데일리룩 | 직장인 출근룩,2025-04-16T12:20:59Z,30961,401,115
문정2동,vHXy8RbpYvI,"9,500원 생맥주 무한 한식뷔페",2024-11-30T00:35:41Z,29160,207,20
문정2동,XmQHI13o8Es,현시점 가장 핫한 야장 고깃집?🤔,2025-10-06T04:38:01Z,28551,240,3
문정2동,Z2ZCHH_qEVc,요즘 난리 난 고추장 삼겹살🔥 #탄심,2025-11-26T10:58:47Z,25910,,9
문정2동,KCQylkGW5gU,#칠성집갈매기 #대파통갈매기살 #갈매기살맛집#송파맛집 #잠실맛집 #서울대구막창 #서울막창 #문정역맛집 #서울맛집 #맛집추천 #mukbang #koreafood #먹중사,2024-05-10T06:22:56Z,23051,153,4
문정2동,B2BUq4Ef918,된장으로 삼겹살을 숙성하면 생기는일?,2025-11-25T08:07:00Z,22384,102,12
문정2동,krZlm640PmQ,[서울맛집] 메뉴가 단 두개뿐이지만 양재에 줄세우는 치킨집? #문정역치킨집 #문정역맛집,2024-08-30T01:34:00Z,21328,124,15
문정2동,wRErzp8Yiwc,맥주 무한리필 미친 가성비 뷔페 일루퓨전한식뷔페 #가성비맛집 #맛집 #서울맛집,2025-08-13T13:29:13Z,21222,113,11
문정2동,RW8Lj9pc_Fk,"""먹잘알이 평양냉면 먹는 방법""",2025-08-27T14:10:00Z,21130,72,14
문정2동,9iEhK30pEv0,회사 밥집 이곳은 어떤가요..? #일루퓨전한식 #문정역맛집 #문정맛집 #문정역점심 #송파맛집,2025-09-10T07:47:41Z,20378,65,12
문정2동,gHpxoSB2btQ,일루 퓨전 한식뷔페 크림생맥주 있는 무한리필 한식 뷔페 문정동 테라타워 맛집 #쇼츠 #kfood #맛집쇼츠 #송파맛집 #mukbang,2023-08-29T13:45:06Z,20253,162,12
