district,id,title,publishedAt,viewCount,likeCount,commentCount
방배1동,sV4kxLnYr_M,보법이 다른 레전드 버거 맛집 모음 ㄷㄷ #shorts,2025-06-25T08:30:30Z,972661,17654,290
방배1동,gV54LoAgUFc,서울 방배동 흑산도홍어 이런 코스는 잡솨도 처음입니다!!,2023-11-28T06:01:32Z,419424,4064,342
방배1동,SOCns85vRgg,"""요즘 보기 힘든 노포 정육식당""",2025-02-05T02:29:38Z,400807,,54
방배1동,OD9WiHfAku8,목살로 튀긴 돈까스라고??,2024-04-30T09:14:59Z,283671,6173,70
방배1동,3VqqnQApRKQ,"재방문 10회 이상, 최현석 셰프 수제자의 숨은 맛집 #shorts #맛집",2025-09-08T08:29:59Z,247449,2941,69
방배1동,so_AJFjen0E,가격이 아웃백절반 수준인 스테이크맛집 놉스 #shorts #스테이크 #스테이크맛집 #아웃백 #티본스테이크 #가성비맛집 #맛집추천 #맛집탐방 #맛집후기 #맛집리뷰,2024-05-05T08:44:49Z,231333,950,44
방배1동,vpzpjcSqW6c,나만 알고 싶은 방배동 골목빵집 대공개 | EP.21,2025-08-20T09:01:25Z,177024,1958,204
방배1동,EG_uNtQPR60,한국에서 이 맛이 가능하다고?,2025-09-16T08:58:27Z,137904,2735,338
방배1동,vtw-7nqjKB4,서울 서초구 방배역부터 내방역까지 맛집 Best 9,2025-07-18T13:12:55Z,97780,1344,286
방배1동,LS0s-s_d7Fw,진짜 맛있게 먹는 방법을 알려드립니다 #shorts #맛집,2025-10-28T08:30:46Z,97455,1455,76
방배1동,QBNA4og6D3Y,자극적인데 진짜 맛있다,2025-10-02T09:10:56Z,80844,1422,74
방배1동,uyskAy0tA7k,#2 정통 일본식 데판야끼 철판요리 전문점 봇타야산 주중 콜키지 프리 방배카페골목 맛집,2024-07-12T07:04:01Z,80003,130,0
방배1동,4rkLb0vIwn4,#2 프리미엄 브런치 카페 오티보 주중 콜키지 프리 방배카페골목 맛집,2024-07-12T07:01:12Z,65806,93,0
방배1동,iM9aKtJX9AI,"""서울 3대 탕수육? 웃기지마세요.""",2025-02-03T02:36:43Z,44164,,21
