district,id,title,publishedAt,viewCount,likeCount,commentCount
삼성2동,zd4V8QU_rEs,혼놀달인의 강남에서 여긴 꼭 가보셔라,2023-10-18T13:15:40Z,2068219,,81
삼성2동,E67mxcbxnjI,"압도적인 맛, 인당 125,000원 국내 1황 야키토리 오마카세",2025-12-02T08:35:56Z,237230,1988,129
삼성2동,DtK3dDYdBbg,서울 강남구 맛집 TOP10 (티맵랭킹),2025-08-26T08:51:23Z,206313,518,6
삼성2동,BEnXJRoH8UY,또 다른 강남맛집 있다면 추천해줘!,2024-12-29T11:08:39Z,157653,3033,12
삼성2동,2BufsdXheVw,서울 강남구 청담역 맛집 Best 10,2024-07-09T02:29:09Z,149922,1852,156
삼성2동,G8X77LkNh28,강남 사람들이 몰래간다는 강남맛집 총정리!!,2024-12-24T09:19:14Z,136257,818,11
삼성2동,u3xrWsr7j-A,강남 찐맛집 BEST 5 #shorts,2023-03-27T08:34:43Z,122314,1160,12
삼성2동,ImSQVPxpd7o,네이버 평점 의미 없습니다 | 강남역편,2025-03-01T11:00:32Z,121168,1984,134
삼성2동,CuA0hBKvPvY,고기로만 하루에 1000만원 파는 강남역고기집 #맛집 #삼겹살 #서울맛집 #강남역고기집 #강남역고깃집 #고기집,2024-08-13T03:22:42Z,72806,209,17
삼성2동,xbz3TE92WVA,강남구청역 아시안 화덕 바베큐 맛집,2024-03-23T08:00:36Z,35618,386,4
삼성2동,aGIMwm4ygfI,선릉역 점심 맛집 TOP 10,2023-06-19T02:00:01Z,33739,192,4
삼성2동,QADiD7Y18ak,75만 유튜버도 극찬한 미슐랭 돼지고기🍖🔥#정육왕맛집 #강남구청맛집 #미슐랭한식 #가브리엘소스 #돼지고기맛집 #픽살기존맛 #강남고기맛집 #돼지목살맛집 #원픽버거 #서울맛집탐방,2025-06-01T22:45:03Z,32139,52,8
삼성2동,xK87KFVbanQ,요즘뜨는 중식당 맛집,2025-01-23T09:00:58Z,24632,299,18
