district,id,title,publishedAt,viewCount,likeCount,commentCount
상암동,Lb1bNdbmTfc,"하루매출 5만원, 폐업직전 국밥맛집",2024-06-14T09:35:06Z,7526376,166775,6180
상암동,7hQ3A8euk9Y,"또 먹고싶은 29,000원 차돌 국밥",2023-11-21T10:15:00Z,2113424,28242,855
상암동,eB5qBoZ3kRA,만원 넘어가도 못 참는 라면,2025-05-22T11:58:53Z,1841263,8532,
상암동,sxZdIjp8iRw,아직까지 변하지 않은 부동의 1위 인생만두집,2025-03-21T03:45:32Z,1726535,21599,129
상암동,NlBVPh737Qk,"올 한해 다녀온 식당 중 1위, 모수보다 만족감이 높은 파인다이닝  #Shorts #맛집",2025-10-13T08:32:29Z,1485207,30832,374
상암동,mrwV0w4t5P4,100만뷰 서울맛집) 서울 순대국 맛집 TOP5,2025-05-16T22:05:13Z,1344174,,320
상암동,vJT_Hs4VHMI,안 보시면 손해가 맞습니다.,2025-04-04T09:01:17Z,713945,15873,457
상암동,TQvPrKdoz3A,이런 라면은 저도 처음입니다,2025-10-27T09:32:33Z,661291,5983,83
상암동,A8lpURTlQRE,서울에 이런 곳이? 기념일에 따라하기 좋은 디지털미디어시티역 하루종일 데이트코스,2025-04-23T10:47:26Z,447175,7200,20
상암동,dojuMw_k0EU,찾았다!! 상암동 찐맛집!!! (feat.100% 중구난방토크),2025-02-18T09:00:49Z,420655,8616,730
상암동,0xgzAgW5lIU,긴 말 하지 않겠습니다. 국내 1황 맞습니다. #shorts #맛집 @라멘괴인웅성,2025-11-02T08:36:37Z,418899,6951,120
상암동,9Rgsn0aflSE,1~2만원대 서울 호텔뷔페 8곳 총정리｜예약 꿀팁까지,2025-11-14T09:00:24Z,380677,9374,344
상암동,y1HmRaofUHA,아웃백 절반 가격에 호텔급 스테이크를?🥩,2024-12-09T10:47:27Z,345466,3948,120
상암동,jnzq9DBDc_A,서울에서 모르면 손해입니다,2025-07-31T12:01:28Z,275094,5827,262
상암동,2pTrzr7-eeI,축구 보러 갔다가 상암에서 노는법⚽️,2025-10-13T09:52:56Z,262767,3603,65
상암동,8PnVxFq_KSU,마포구 맛집추천! 5개이상가봤다면 쩝쩝박사 ㅇㅈ,2024-05-14T10:18:54Z,256865,8529,35
상암동,82E4FdIaz0w,한국의 유명떡집 top10 #shorts #한국 #유명떡집 #한국유명떡집 #한국디저트 #전국유명떡집 #떡 #ricecake #떡맛집,2024-06-20T14:47:38Z,212256,1822,26
상암동,gF_R86nGCMg,1시간을 기다려도 먹을 가치가 있는 미친 찐맛집,2025-11-10T12:00:36Z,96876,1737,128
상암동,i3rPx07K3lU,안보면 후회하는 마포 A+ 맛집 모음 [2025년 상반기],2025-05-13T13:50:57Z,93025,1483,20
상암동,g0IfLFT6tLE,"올해 파인다이닝 1등, 예약성공률 0.0001% [S학점 🍝 상암 일 베키오]",2025-10-05T02:19:45Z,71295,1631,50
상암동,ap0BNLu1N8o,저는 아무것도 안했다니까요 #상암맛집 #상암파스타 #달리181상암점,2024-10-20T10:39:50Z,38477,878,10
상암동,cLPSp_v6xek,[전현무계획2 | 채널S] 김태호PD가 추천하는 상암동 맛집! | 16화,2025-02-07T14:30:16Z,35621,280,13
상암동,6S_UOnIcR7A,성시경 먹텐 서울 맛집 순위 Top 5,2025-10-11T04:07:12Z,30448,179,6
상암동,Ia-00jzAsUw,인프피 사장의 고충 #상암맛집 #달리181상암점 #서울맛집,2025-03-07T09:47:46Z,19017,341,21
상암동,hzEX7930g4k,인프피 사장의 호객행위 #서울맛집 #달리181상암점 #상암맛집,2025-03-08T08:26:08Z,14649,175,5
상암동,sFdCQh5KduY,#서울 #서울맛집 #food #백반맛집 #상암동 #상암동맛집 #밥 #B.O.B #만원의행복 #,2024-07-18T12:26:31Z,14093,77,10
상암동,HpbX7xmU804,이 분 유튜버였는데..?! #손새벽 #상암동 #상암동맛집 #달리181 #파스타맛집,2025-03-17T10:13:29Z,11642,92,5
상암동,17EvZ4TvDSU,재료까지 푸짐하게 넣어주는 #만평우동,2024-09-20T09:11:12Z,10921,94,3
상암동,cNZG_Msqu8o,"샤브로21 상암점🥬6,800원 가성비, 상암샤브샤브, 1인샤브샤브, 상암맛집",2023-07-29T11:43:53Z,10900,89,0
상암동,LFh_sckf7do,퇴사하고 반지하 고깃집에서 7년간 고생만 하다 대박 터진 이유 [상암맛집/아고야],2023-10-13T10:17:22Z,10884,,17
상암동,dDWeHWCFVeo,k리그 전구단투어 맛집탐방 서울편 - 상암푸드트럭,2025-03-05T15:28:41Z,10205,26,3
상암동,PKqDLZVJitU,[상암맛집] 매일 낮2시에 오픈 한다는 맛집이 있다길래 다녀 왔습니다!!              #두시만세 #자체발광초대석 #박준형 #박영진 #MBC표준FM #맹구 #보이는라디오,2024-06-20T04:13:00Z,9984,55,19
상암동,Z6_Uz9ontQA,빡빡이 사장의 레이져제모 후기 #달리181상암점 #상암맛집 #제모,2025-03-06T10:12:23Z,9740,151,7
상암동,V2MFskVCAGo,"여기는 진짜 유명한 방송국 맛집임. 😋🍽️ | 상암 DMC 꼬닭 묵은지 닭볶음탕, 꼬막, 도토리묵 먹방",2024-09-19T08:00:20Z,9485,567,62
상암동,nW9DGxs52RM,"나영석PD님이 인정한 상암맛집 ""너구리칼국수""",2024-05-21T13:45:35Z,9195,128,10
상암동,RacJuc066Lg,"여의도vs목동vs상암, 방송국 3사 찐맛집 대결🔥(전통수제비, 냉이된장찌개, 나폴리피자) #전현무계획2 | MBN 20250207 방송",2025-02-08T02:00:17Z,8423,51,4
상암동,0shkS5TEhp8,2대째 전수받은 비법 육개장으로 만든 육칼 #상암동맛집 #청하칼국수 #칼국수,2024-04-03T13:36:13Z,8417,30,0
상암동,sv8OVzvBwew,#shorts  #쫀디기 #상암쫀디기 #상암카페 #상암맛집 #직장인점심 #k직장인,2023-12-22T02:57:23Z,7681,66,0
상암동,zkHgjyYs1mw,요식업 사장이 ADHD라면 생기는일 2 #adhd #상암맛집 #달리181상암점,2025-03-05T10:43:10Z,7617,119,4
상암동,aTDFFBrolzg,물떡과 키리모찌의 대결 상암동 뎅뎅바 #shorts #맛집추천 #맛집탐방 #애견동반식당 #오뎅바 #마포맛집,2024-04-04T06:52:35Z,7518,38,0
상암동,SJ4RTMuhoOo,상암동 맛집 TOP20,2024-06-07T09:00:31Z,7372,15,1
상암동,dBXMcbGfdM0,6kg 초대형 대삼치 오로시 Japanese Spanish mackerel,2024-10-25T09:27:57Z,6934,12,0
상암동,jzNgyRs1yeg,상암맛집 캘리포니아롤 전문점 미미롤집,2024-04-07T05:26:53Z,6702,27,2
상암동,U09AtMLlMLA,삼계탕에 오뎅 넣었다고?! 이건 진짜 일본도 놀랄 조합😂#상암맛집 #쿠시노아상암 #삼계오뎅 #안키모 #마포맛집 #DMC맛집 #일본감성맛집 #삼계탕오뎅 #이자카야추천 #맛집총각,2025-07-16T02:26:23Z,6623,39,5
상암동,87xv4P0_QbI,#명인등심 #상암맛집#오픈이 엊그제 같은데..4개월이 넘어가네요.💕💕💕💕,2024-04-11T23:49:43Z,6571,63,1
상암동,Zk696RKs2XM,부산에서 즐겼던 낙곱새를 똑같이 서울에서 '개미집' 상암점 #shorts,2024-02-03T02:00:16Z,6362,35,0
상암동,TDkbdZby704,전현무 곽튜브 다시 찾은 등촌동 추억의 맛집 #전현무계획,2025-10-15T06:17:27Z,6268,51,0
상암동,hNpb68RZHY4,마라보다 더 깊은 맛! 상암동 똠양꿍 국물 맛집,2025-03-18T01:08:36Z,6203,8,0
상암동,dNLs2z6_Kos,마포구 맛집 TOP10,2024-08-07T03:00:32Z,6018,30,0
상암동,BGbJ5Dn3VoQ,"눈이 번쩍뜨이는 그런 맛집, 피슈마라홍탕",2023-04-22T11:01:05Z,5800,54,2
상암동,F7pnq1LbQ7A,#상암동맛집 미식클럽 #순대국맛집 #다가이 서비스 순대 수육 아침식사 가능 프로국밥러,2024-06-30T13:44:00Z,5696,24,0
상암동,6feanP1Paxc,상암동 맛집 TOP5,2024-06-07T03:00:03Z,5345,28,0
상암동,M_sRsTBHviY,방송국에 소문난 상암맛집!?,2025-10-09T05:44:06Z,5322,85,1
상암동,R4CLwnSasHA,기름때요? 그게 뭔데요? 청결이 기본인 상암 태국 맛집!,2025-07-11T10:21:22Z,5295,7,0
상암동,1QScGMuXclk,상암 직장인들의 고민거리 추가요,2024-04-28T00:15:19Z,5267,33,0
상암동,bf6Po1UJKBo,#shorts #덕승재 #상암동맛집,2024-07-02T00:23:15Z,4697,39,8
상암동,t7SB-pXY1nw,📁상암 직장인의 또간집 모음zip 1편⭐️ #직장인브이로그 #점메추,2025-10-06T13:11:00Z,4551,,0
상암동,Zd2wU9jF-9I,상암 하늘공원 I 맹꽁이 전동차 타고 올라가기 #가을 #억새 #상암하늘공원,2024-10-13T09:38:49Z,4466,32,1
상암동,XwioYHV8yNg,서울시 마포구 상암동 다이어메이커 뮤직LP바 [#서울 #서울맛집 ],2023-07-24T16:45:57Z,4456,,4
상암동,JoytqrAPtoE,서울한우맛집🔅,2025-04-05T04:35:38Z,4288,5,0
상암동,0LKpg3tV0jo,한국인은 마늘의 힘으로! '계림 닭도리탕' #shorts,2024-01-23T02:00:00Z,4255,36,4
상암동,RYwLMDUsZXI,"상암동 여행 필수코스, 상암동 디지털미디어시티 맛집 전설의 우대갈비",2023-06-15T06:06:48Z,4220,22,0
상암동,vEuJNu8xoaQ,신축 입주하는 서울 DMC SK뷰 아이파크포레 아파트단지 둘러보기,2023-08-01T05:08:41Z,4110,40,16
상암동,l-mA5wCtxCI,상암동 일미락! 지리는 고기 두께감을 가진 맛집,2023-04-07T09:15:02Z,4034,32,0
상암동,Ieb0qeS8m-8,인생버거는 여기인거 아시나요?!,2025-11-19T14:52:00Z,3096,4,0
상암동,_9QRHkDIRLQ,14일 교차 숙성 프리미엄 한돈?! 상암맛집 고솜 덕은지구점,2025-09-05T08:00:45Z,3080,48,1
상암동,ti5yxbRyRDs,결혼식장 뷔페 맛집??? #dmc타워웨딩,2025-06-17T14:12:49Z,3073,10,2
상암동,VQuiE7gQZWI,상암 줄 서서 먹는 맛집 무다이 상암점 #맛집 #kfood #koreanfood #마제소바,2025-05-25T12:04:41Z,3055,7,0
상암동,Rt1lOR6pHdE,도투리 샤브칼국수 서울백년가게  #은평구맛집 #증산역맛집 #상암맛집 #은평구가족 #은평구샤브,2024-04-14T09:59:29Z,3051,,
상암동,B5Mc-tsYygw,상암동 유튜버맛집 한상가득왕솥뚜껑,2023-07-15T14:09:39Z,3031,24,1
상암동,GPPevH674gM,상암 직장인이 냉면 맛집 발견해버림,2025-04-29T13:03:14Z,3020,20,4
상암동,3hu3fTPIo_I,(광고) #새참당 #상암맛집 #마포맛집 #유린기맛집 #맛집 #맛집추천 #호텔식덮밥전문점,2025-10-09T04:13:48Z,2828,19,0
상암동,7Qg44kLoKso,#새참당 #상암맛집 #마포맛집 #유린기맛집 #호텔식덮밥전문점,2025-10-10T10:57:52Z,2668,23,2
