district,id,title,publishedAt,viewCount,likeCount,commentCount
서교동,oyorzJSQRwM,미식가들 피셜 최고의 한식 주점,2024-07-27T00:00:22Z,7938167,70697,799
서교동,iXS9vn4UuxM,전직 알바생이 알려주는 내돈내산 떡상 꿀팁!,2023-08-29T11:33:10Z,6217280,89140,2526
서교동,JSgxoR0y21Y,#연예인맛집 별거 없네.. #타코,2024-05-28T10:06:14Z,4198570,46500,235
서교동,2b8JtDgSckQ,풍자+방시혁 더블체크 된 합정 찐맛집 찾았습니다.. (feat. 시혁님.. 맛집리스트 공유해주세요..) | 또간집 EP.37,2023-10-06T09:28:07Z,2739875,27388,1915
서교동,lchVEwvfAyQ,흑백요리사 딤섬의여왕 정지선 셰프님의 티엔미미 #흑백요리사 #정지선 #홍대맛집,2024-09-28T07:15:58Z,2323890,33538,430
서교동,nwgcsi9xBIA,이색적으로 홍대~연남동에서 노는법,2025-05-02T09:27:39Z,3967161,84796,418
서교동,FHlGjJDVMTY,망원시장 맛집은 이걸로 종결!,2025-06-25T09:20:09Z,3659237,59635,140
서교동,iqo1c_EY4DI,"""진짜 지리는 중국집입니다.""",2025-01-30T02:15:55Z,2829893,5841,611
서교동,kA1LC2JLqOg,오픈 1년만에 미슐랭에 선정된 라멘집의 정체 ㄷㄷ,2025-03-11T02:59:37Z,1600217,35841,276
서교동,OlijJwhceGY,라멘은 홍대가 맞지? @여러분의 원픽은? 댓글에 남겨주세요!,2024-07-08T11:59:52Z,1385420,48196,435
서교동,sxZdIjp8iRw,아직까지 변하지 않은 부동의 1위 인생만두집,2025-03-21T03:45:32Z,1722886,21583,129
서교동,2teFEq-ip3w,메뉴가 2개인데 줄서는 집,2024-05-12T09:15:00Z,1040222,15360,400
서교동,xZUaA5mmRl0,12000원에 이게 다 무제한이라고?😳,2024-07-25T03:20:58Z,1274697,5167,200
서교동,kvbkbPg_xhg,가성비 지리는 특상우설 맛집 ㄷㄷ @일하는용형  #shorts,2025-03-30T01:26:53Z,1089459,15482,124
서교동,Vq82fuDVsXA,흑백요리사 정지선 셰프 찹쌀 도나츠,2024-10-04T01:24:44Z,937713,5397,266
서교동,uV9XYCx9e4w,🍳비빔밥 무한리필 8.000원 홍대에서 꼭 가볼만한 착한식당 #서울여행 #서울가볼만한곳 #홍대맛집,2024-02-24T12:30:39Z,554380,6132,190
서교동,wCriYW5dB98,[sub] 성시경의 먹을텐데 l 서교동 국일순대국,2025-07-30T09:00:06Z,466236,8197,790
서교동,2MYvc4dvroI,또간집 보다 유용한 합정 찐맛집 모음 Best 15,2024-01-22T02:00:00Z,406497,8951,290
서교동,tAK-fvKG7vk,대한민국 #손만두 가 뭔지 제대로 보여주는 #만두맛집 #망원동 #분식,2024-11-17T01:08:13Z,428498,6675,63
서교동,LjDXqV0KEFs,대부분 모르는 홍대입구역 가성비 호텔 뷔페,2025-08-16T08:05:28Z,910828,8542,54
서교동,A5qqTBZA_iY,(광고)#연남동맛집 #홍대맛집 #타코 연남동 최애 음식점,2024-05-02T11:57:07Z,351493,6718,72
서교동,aHtwwb22eog,가성비 넘치는 재밌는 홍대데이트 코스 (이대로만 가면 끝) 댓글 확인!!,2024-02-07T14:02:52Z,484906,4080,9
서교동,IKZKMfhCF-U,2만원이면 배터지는 40년된 노포맛집,2025-04-11T23:32:07Z,543126,1915,62
서교동,8PnVxFq_KSU,마포구 맛집추천! 5개이상가봤다면 쩝쩝박사 ㅇㅈ,2024-05-14T10:18:54Z,256485,8523,35
서교동,HaE8GtEXsgA,전국 돈까스1위가 진짜 여기라고..? ㄷㄷ #shorts,2025-03-24T02:35:57Z,264920,4458,107
서교동,cRjxF4EMxiM,홍대 바다회사랑 대방어 웨이팅 꿀팁!?,2024-11-19T09:15:09Z,225208,1597,97
서교동,wUjZulOvWk8,풍자가 은퇴까지 건 또간집중 1등이라는곳,2025-06-05T11:07:00Z,387845,1309,91
서교동,z3Jpw_5Nyhc,"하루 500개, 밤새도록 운영하는 홍대 외국인 찐맛집",2025-06-26T10:56:30Z,183148,3430,328
서교동,EcRDZWvfRZw,서울 서교동 홍어한마리 1인4만원에 이게 가능한가??,2025-01-25T06:19:32Z,147735,1769,103
서교동,Om8OdOb-B3o,홍대 맛집 TOP5,2023-07-30T03:00:16Z,153110,873,9
서교동,ygtVd6xoZa8,실패하지 않는 홍대입구 커피맛집 Top 3,2025-01-31T13:02:00Z,154921,4365,58
서교동,7Ejfaf_9mD8,합정역 인정하는 맛집 #너도선정 #합정맛집 #서교동 #홍대맛집 #서울데이트 #서울여행,2025-01-07T06:53:45Z,189153,2740,12
서교동,XcjiU2manYM,홍대의 축복으로 불리는 초밥맛집,2023-07-15T07:02:38Z,117874,3890,65
서교동,cGhkcXAUBOs,합정역 서교동 활고등어회 맛집 42년 경력 알배기,2025-04-24T08:58:54Z,249714,674,74
서교동,kOk97T-FSN0,지리는 뇨끼 맛집 최초 공개합니다...#shorts #맛집,2025-07-28T08:43:28Z,190336,4220,42
서교동,P9j-YE3Uv18,풍자님이 제일 맛있다던 홍대맛집,2024-12-01T11:00:25Z,187667,664,6
서교동,FAOyKp8KOpo,홍대 현지인 추천 풍자님도 다녀간 맛집! #마포구맛집 #홍대맛집 #홍대맛집추천 #홍대입구역맛집 #홍대가볼만한곳 #홍대데이트 #bts #,2024-07-02T02:21:21Z,138780,623,15
서교동,ivvRpWfMMY0,일본보다 맛있다?! 차슈쌈싸먹는 서울3대 라멘맛집🤭#라멘맛집#홍대맛집#라멘,2024-09-01T10:11:55Z,97093,2477,33
서교동,LwlP5mld4aY,서울 마포구 홍대 레드로드 맛집투어 5곳,2023-06-09T07:33:32Z,83693,897,38
서교동,aaih-OfYpZM,트민남녀에게 추천하는 홍대 쇼핑 맛집 두 곳 (목걸이 12000원이면 싼거 아녜요?),2023-04-20T06:03:30Z,81888,1935,8
서교동,K002L4wywuU,"합정 ,서교동맛집 옥동식 돼지곰탕 돼지국밥의 끝판왕 미슐랭 가이드에서 소개한 그 식당에 다녀 왔습니다.",2023-10-05T07:45:01Z,79911,369,31
서교동,aPNGcABCxIE,"합정 서교동 문화 트렌드의 중심! 골목 핫플 대방출, 합정역 맛집｜서울여행 서울데이트",2025-01-05T13:25:57Z,77861,1918,110
서교동,vxZGW0-51vA,네이버 평점 의미 없습니다 | 연남동편,2025-04-25T09:01:22Z,76665,1427,90
서교동,DE3UerauO8A,"연남동 홍대 소고기 꼬치 무한리필 80가지 훠궈! 삼국정#협찬 #삼국정 #홍대맛집 #연남동맛집80가지 무한리필 훠궈 런치타임 1인 19,800원",2025-12-13T03:25:13Z,200918,1383,10
서교동,4sVNhcflMdU,홍대 옷집 1분만에 보기,2023-07-21T10:21:05Z,74113,,2
서교동,y9bJHJy90x0,여긴 제가 보증합니다,2025-12-03T08:51:37Z,127338,1505,17
서교동,7A6uRLR4zqU,살면서 꼭 한 번은 먹어봐야하는 이 라멘 #shorts #맛집,2025-12-21T08:03:32Z,115364,881,22
서교동,fRrcLHwsl2U,풍자 또간집 1화 연남동 맛집 카쿠시타 최신 근황,2025-06-10T08:28:05Z,105276,744,11
서교동,qYeZjIue8sA,무조건 성공하는 당일치기 홍대 데이트코스.zip,2025-08-07T23:00:25Z,108999,853,1
서교동,dWOaIE7BqQM,저녁에 가서 눈물난 인생 최고의 라멘집,2025-06-14T02:08:52Z,102614,1299,32
서교동,jgNuDTHXWaY,일본 돈코츠라멘이 단돈 5천원?! 전국에서 제일 저렴한 가성비 라멘맛집! #서울맛집 #신촌 #홍대 #연세대 #서강대 #가성비 #라멘 #일식 #국수 #라면 #야식 #분식 #저녁메뉴,2025-04-25T11:18:46Z,137330,780,26
서교동,qj3GcpVoIN4,1인1피자 뿌셔야할 나폴리피자 정통맛집 #로쏘1924 #피자맛집 #홍대맛집 #합정맛집 #연남동맛집 #홍대데이트 #홍대입구역맛집 #나폴리피자 #화덕피자 #서교동 #마포구맛집,2023-04-27T11:37:11Z,46932,764,25
서교동,0OCoOUMa6Ws,"전 메뉴 4,900원 일본 야키토리 전문점 근황",2025-06-27T03:21:00Z,99369,394,39
서교동,RoMvJKeNu4c,홍대 줄세운 곳이...당고집???,2025-03-25T11:00:39Z,56661,584,10
서교동,HSOUm4ejcc4,"흑백요리사2 본선 뚫은 순대집, 솔직히..",2025-12-27T00:43:12Z,55228,420,18
서교동,bavki9v1pME,마포 용암떡볶이,2024-09-04T08:07:59Z,38666,294,13
서교동,d8a_ViedROU,단돈 4천원! 전국에서 가장 저렴한 돈까스! 연세대 이화여대 홍대 학생들만 가던 갓성비 끝판왕 #가성비 #돈까스 #소울푸드 #신촌 #홍대 #서울맛집 #야식 #저녁메뉴 #고기 #점심,2025-04-23T09:23:02Z,100331,395,11
서교동,PUNtEOyEU2I,#테누커피 #홍대카페 #연남동카페 #서울맛집 #모찌 #밍푸디 #kfood,2024-07-28T12:25:53Z,38993,619,22
서교동,GnIJRJ3rATg,라멘 1세대 맛집 하카타분코의 근황은 어떨까?,2023-05-23T11:00:18Z,38168,437,20
서교동,kyjy1Fo0dZ8,류진 라멘 망원동 #지로라멘 #류진 #망원동,2025-06-04T06:10:48Z,54151,197,16
서교동,qLOSfbYe5b8,홍대에 나타난 해리포터 감성 신비한 과자가게‼️ #세계과자 #홍대,2025-03-07T12:40:01Z,56708,932,5
서교동,EF5XL2hmmQU,미쉐린 라멘맛집  사루카메  #서울맛집 #연남동맛집 #홍대맛집 #서울여행 #사루카메,2024-10-04T05:51:22Z,33185,281,8
서교동,jN979CdNPls,"""홍대 저장수 맛집 TOP10 🔥"" 사람들이 가장 많이 저장한 진짜 맛집 공개! #맛집랭킹",2025-05-30T15:27:24Z,57751,251,2
서교동,KVIplqVteKE,연남동 주민이 추천하는 맛집 리스트2 #맛집 #연남동가볼만한곳 #연남맛집 #연남동,2025-03-04T09:10:07Z,51773,272,1
서교동,MBTMiHNtiiM,미대생과 함께한 홍대 학식 솔직 후기,2025-06-06T09:37:29Z,46316,235,10
