district,id,title,publishedAt,viewCount,likeCount,commentCount
성수동,72XuWu9XDUg,키티어버가 일주일에 5번 가는 맛집ㅣ뚝도시장 피터팬 돈까스 | 또먹고 또먹고,2025-06-26T09:29:21Z,1855586,29553,1336
성수동,LN74eEnB8a8,MBTI - I가 성수동에서 노는법,2024-12-18T10:41:36Z,1871191,65185,265
성수동,ZvSDojWThyI,성수동 한우 동그라미 소고기맛집 뚝섬역 무식당 #한우맛집 #한우 #소고기 #소고기맛집 #성수맛집 #맛집리뷰 #맛집후기 #맛집추천,2024-06-26T01:52:43Z,1449912,7288,
성수동,2i1-pNBFJ8k,성수동에서 먹을게 고민 된다면 여기 어때?,2024-05-26T11:01:38Z,1382593,39400,153
성수동,TloP53QIgiQ,3트만에 영접한 38만 유튜버 박뚜기! 두바이 땜에 더 난리났다는 2주차 소금빵 팝업! #박뚜기 #소금빵 #팝업 #가성비 #성수맛집 #간식 #디저트 #빵 #빵순이 #카페투어 #핫플,2025-12-04T11:38:23Z,2230179,19325,339
성수동,vbBYnmELwqk,홍대 성수 감성 다 발라먹는 근본 핫플 ‘서촌’에서 수십년 된 터줏대감 맛집 찾았습니다. | 또간집 EP.87,2025-10-24T09:28:07Z,1241810,7762,1062
성수동,kgvkGuMNJN8,[sub] 성시경의 먹을텐데 l 성수동 성수아구찜,2025-04-24T09:00:06Z,894112,10845,897
성수동,fHih_d2-nyI,(ENG) 제가 느.좋 동네 소개해 드립니다 | 성수동 반 바퀴 | 할명수 ep.226,2025-03-14T08:30:13Z,863747,7916,424
성수동,JgezLIJks3k,흑백요리사2 탈락자 식당 현실 후기 #shorts #맛집,2025-12-16T12:10:37Z,1255659,6394,471
성수동,ow-glrbwQJA,이태리 본토에서 극찬한 성수동 월클 피자 (광고 아님),2025-04-01T09:00:52Z,582170,6639,409
성수동,cXmQC8Y1Ow0,[sub] 성시경의 먹을텐데 l 성수역 세스크멘슬,2025-08-25T09:00:06Z,319763,6422,498
성수동,1khXI7QXNoo,성수동에서 어디갈지 고민이면 여기서 골라봐.,2025-10-13T12:02:25Z,597937,9003,26
성수동,3ZbtV8YXFGo,자영업 사장님의 매일 가는 2026 로컬 성수동 맛집 5,2025-12-10T11:30:04Z,580884,5091,99
성수동,H_Cj8A8gnI8,서울 성동구 성수역 맛집 Best 10,2024-07-04T22:35:11Z,247056,2353,226
성수동,i3YK18VCuGc,"성수 여기 안 올 거면 오지 마(로컬 맛집, 쇼핑, 가볼만 한 곳)",2023-11-16T11:45:01Z,224458,3522,85
성수동,18dEIWYCci0,광고 범벅된 성수동에서 찐맛집 찾기,2025-05-27T09:00:02Z,208890,1865,162
성수동,DkSO4QRTX_c,성수 사람들이 몰래간다는 성수맛집 총정리!!,2024-12-24T03:20:43Z,231980,2186,8
성수동,1X3nz2PSh8c,Ep. 26 찐 성수동 주민 우리동네 가이드 / 어딜가야할지 모르신다면 필수 시청,2025-08-19T10:00:03Z,179752,3254,210
성수동,aDPM5DHtlQY,[SUB] 사람들은 잘 모르는 성수의 숨은 데이트 코스 추천 | Cafe hopping in Seongsu,2024-12-27T09:00:00Z,169789,1002,64
성수동,4D2fHyv9BFs,"성수동 처음이라면? 맛집 핫플 정리, 서울숲, 뚝섬역｜서울여행 서울데이트",2024-01-25T09:15:00Z,160033,1604,57
성수동,KBzswudtwMU,성수동 맛집 TOP 10 #top #이슈 #뉴스 #맛집 #성수동,2024-09-21T00:00:54Z,208452,1122,17
성수동,XmJMn6yIK9w,성수 코너룸. 삼촌은 가족이 아니란다...,2025-12-16T12:51:08Z,326060,4110,600
성수동,etOBCkDPqaY,"성수동 완전정복🌠멋진장소 투어💒(성수찐맛집,성수카페,소품샵,빈티지안경,프레고클럽,오래된숲,리볼리,포이티,빈티지샵,성수동 쇼핑,성수핫플)성수 브이로그",2024-07-22T10:00:41Z,144555,2116,185
성수동,nX3T7HxgCN0,성수는 맛집이 많구나🥯🥨 성수 맛집 추천 #성수 #shorts,2023-05-18T13:00:39Z,143448,2200,19
성수동,3iwtkLmq_mA,성수 맛집 [타코스퀘어]의 변신!🌮  멕시칸 맛집 이마트24 에서 만나보세요💛,2025-12-26T02:00:10Z,198067,5,0
성수동,AZ1UFegG32c,성수동 맛집 10곳,2024-10-22T05:02:18Z,119335,1136,45
성수동,kXbrLk_aqvs,성수를 가장 성수답게 즐기는 법,2024-06-24T22:47:15Z,111823,,102
성수동,2Oz2TAdAJ1c,일본인들 한국 요리로 신세계 보여 주기 (+성수 맛집 TOP5),2025-11-01T12:00:12Z,110730,1929,156
성수동,DXXr-JzkD6Y,성수역가서 이걸 안먹었다고? #성수맛집 #성수역 #서울맛집 #shorts,2023-03-02T02:00:04Z,100630,764,15
성수동,fdi59QLX4uw,성수동 맛집 데이트코스4군데 풀어봅니다!?,2025-03-22T09:49:58Z,136726,,12
성수동,6yDBKQYCaJA,꽃게짬뽕🦀두껍새우버거🍔에 크로플..성수동12년차 고준희 찐 배달맛집 top3 | 갈테야테야 웨이팅 없이 성수 맛집 갈테야 l 고준희GO 돌아온 EP.8,2025-11-10T09:00:21Z,91862,1519,158
성수동,i1M-jD0J35o,성수에 있는 리뷰 3천개 이상 빵집은 어떨까?,2025-08-21T11:30:40Z,91520,1135,86
성수동,TbhzcevbiQ8,저 정혁이 해냈습니다! 성수에서 5천원 맛집 발견! I 한끼오천원,2024-12-20T09:00:29Z,81368,1199,149
성수동,UFRCJq9y00E,폴킴이랑 핫플 천국 성수역 맛집 탐방🩷오늘 영상 음식이 감미롭고 목소리가 맛깔나요!😛 🚂맛호선_🚋성수_🚋폴킴 (베트남 음식+소금빵+해산물)(ENG),2025-08-13T10:00:46Z,79517,1678,145
성수동,Xlai_mTFanM,술맛 터지는 광진구 + 성수동 맛집 술집 BEST 12 반드시 또 가야하는 1등 포차! 콸콸 폭음 주의!,2025-03-06T09:48:33Z,76032,1109,54
성수동,06IZ2J6sz44,까탈스러운 여친과 성수 데이트 코스 추천⁉️ #성수데이트 #성수동맛집 #서울데이트 #성수동브이로그 #shorts,2024-05-11T07:00:00Z,89893,695,13
성수동,tF_bShSfIu4,"성수동 또간집, 성수 디저트 맛집 9곳 모음!",2024-10-28T02:00:34Z,74981,952,24
성수동,A88zvM3zyxQ,"성수 맛집을 소개하러 왔습니다🍜🥐🍫🍽️ | BoA 보아 '정말, (맛집) 없니?'",2024-04-04T11:00:14Z,74209,2625,784
성수동,P1ytVtiAKos,성수맛집 이것만 보고 가세요! | 서울맛집 실비집 쌀국수 육회비빔밥 텐동,2025-06-28T11:50:20Z,126712,708,8
성수동,263sU6ceDc0,성수맛집 한우오마카세 우시야,2024-07-17T16:48:03Z,80834,5,0
성수동,Tz_nAkfSsVw,3년간 숨겨왔던 성수 디저트 빵 맛집 2곳 (ft. 빵집사장) | 성수 숨빵투어,2025-03-12T10:00:29Z,57364,868,60
성수동,Bt7S2qoo7MI,요즘 핫한 북성수 다녀왔어요 ! 맛집 + 새로 생긴 카페 + 쇼핑까지! 언니와 저의 알찬 성수 vlog 즐겁게 봐주세요⋆⭒˚｡⋆🍂 #성수동데이트 #성수 #브이로그쇼츠,2025-10-22T11:14:45Z,104301,1518,35
성수동,BocQ8rK_cNw,"쇼핑 천국 성수동💸 아임도넛, 미피스토어, 수제비맛집, 베커린, 29홈, 레퍼토리, KITH",2025-10-26T02:00:09Z,57727,693,33
성수동,ik90TZXIeWs,요즘 난리난... 성수 맛집 투어🍽️ 이주승의 북성수 세끼 (eng sub),2025-07-27T03:00:49Z,49298,1319,90
성수동,sORT2nB4_f0,평일 웨이팅 3시간 맛집? #성수동맛집 #성수맛집 #성수데이트 #koreanfood,2024-03-24T03:36:23Z,53556,216,4
성수동,ztkX5xVenMs,성수 닭갈비 강추!!! 맛집.,2025-11-08T07:05:02Z,91702,1394,123
성수동,36ow8ol0Pxo,성수 직장인 추천 파스타 맛집🪧 #성동구맛집 #성수맛집 #성수맛집추천 #성수역맛집 #성수역맛집추천 #성수가볼만한곳 #성수데이트 #bts #파스타,2024-06-19T03:16:15Z,64149,300,4
성수동,pnxw4JUFcnU,진짜 나만 알고 싶은 성수 숨은 데이트 코스. 그래도 알려드리겠숴요,2025-10-01T11:01:40Z,42372,579,63
성수동,0zIQScOEGhY,여기 왜 논란이 이렇게나.. #성수맛집 #성수동맛집 #성수 #부대찌개맛집,2025-07-19T07:49:21Z,60955,129,11
