district,id,title,publishedAt,viewCount,likeCount,commentCount
송파2동,w-99a_dPVvQ,돈있어도 못먹는 1시간이면 다팔리는 맛집,2024-08-08T11:41:32Z,2683665,14655,764
송파2동,uP6S9S7_18c,이영자 추천 잠실 맛집 3대천왕,2025-03-26T11:20:33Z,2647368,23160,410
송파2동,jCg_zS9Js94,영업좀 그만했으면하는 24시간 맛집,2025-01-30T11:26:14Z,1395996,6994,139
송파2동,keaRzDtdDB8,돈만 있으면 매일 가고 싶은 역대 최고의 일식당 #Shorts #맛집,2025-09-04T08:33:23Z,1210795,14702,253
송파2동,vikptJdj-ck,잠실 찐맛집으로 3군데 풀어봅니다?!,2025-02-05T09:38:35Z,1180715,,372
송파2동,ayTwmElYEhk,"잠실 야구장 필수코스!! 새마을 전통시장에서 찾은 💎보석💎같은 맛집 한잔 (떡볶이, 만두, 닭강정, 족발) [ENG]",2025-03-21T08:30:01Z,583895,5041,386
송파2동,nnCjwYVaybc,침착맨이 감탄한 송파구 라멘집… 진짜 폼 미쳤습니다; [카스스메 ep9. 침착맨],2025-08-09T11:01:24Z,425647,4332,521
송파2동,8vED16CywmU,소고기 무한리필의 편견을 깨뜨림..,2025-08-05T09:00:10Z,363131,3389,54
송파2동,AbArfD4Ca_A,네이버 평점 의미 없습니다 | 잠실편,2025-03-21T09:00:17Z,360452,7721,276
송파2동,l5PrYe0sKuM,[vlog]브이로그..맞아?(송파구 맛집 특집/마시고 해장하고../송파감자국/함경도찹쌀순대 수육/가락동 트럭 짜장면/니커버커베이글/노포 고깃집 부일갈매기/석촌동 단골집 닭볶음탕),2023-01-02T11:50:14Z,216284,2554,254
송파2동,7Wm6eubo8vk,"서울 석촌역, 송파나루역 송리단길 맛집 Best 10",2024-09-27T03:47:08Z,152139,1462,159
송파2동,8G6LMxnwCmM,[우리동네 맛집] 송파구 맛집은 어디야? #맛집,2024-11-04T06:40:09Z,105940,670,45
송파2동,-IGrbIwNh9k,송파 동네 어르신들의 아지트 알고보니 연예인 맛집? #송파맛집 #병어조림 #노포맛집,2025-06-23T12:20:55Z,67339,161,4
송파2동,WvI2yXrib_c,"흑백요리사2 평양냉면 하나로 뚫은 집, 솔직히..",2025-12-26T09:37:07Z,67159,406,33
송파2동,QuMzNU1NbNs,한끼에 식당 두군데 가능? (송파 최고 맛집은 바로 여기) #잠실맛집 #송파맛집 #생선맛집 #돈까스맛집 #쇼츠 #shorts #가성비맛집 #대신가드립니다,2023-03-08T02:56:02Z,60578,548,34
송파2동,EfIRAey8g8I,공유저장 필수 송파 맛집 모음 [2025년 상반기],2025-05-20T08:21:52Z,53861,724,24
송파2동,BCLVGK-o4bM,8년차 잠실러의 동네소개 | 데이트 코스 짜드림💘 | 송리단길 맛집 | New카페 | 빈티지샵 쇼핑(득템) | 낮술 장소 추천 | 위스키바 ,2025-08-05T10:01:47Z,48518,631,107
송파2동,oFqNApgeu2A,송파의 축복이라 불리는 순대국밥집. 정식을 시키면 같이나오는 수육이 와..,2025-06-16T08:00:14Z,45781,132,12
송파2동,i83qhbO6ysY,"로컬 변호사가 추천하는👍 서울동부지방법원 맛집 TOP 5 (a.k.a. 문정 맛집, 송파 맛집) [히어로이어]",2024-02-01T07:00:17Z,44325,,57
송파2동,Zcb4s1kwj0E,소고기 좋아하는 친구 댈꾸가면 칭찬받음! #송파구맛집 #송파맛집추천 #맛집 #몽촌토성역맛집 #잠실맛집추천 #소고기맛집 #소고기맛집추천 #bts,2024-07-21T08:18:33Z,34554,276,17
송파2동,4sQ0OQ0A56I,'라면' 하나로 흑백요리사2 본선 뚫은 식당 [송파 칸세이],2025-12-20T00:11:59Z,34426,278,17
송파2동,NgbYl6bBvxk,언니&이모 MOU 맺은 송파구 레전드 포차! #송파맛집 #가락동 #노포맛집,2025-07-25T03:44:39Z,33943,123,6
송파2동,AlHt6-93YrI,"찐로컬 잠실 주민이 가는 최신 잠실 맛집 Top3  | 방이맛골, 롯데월드타워 31층  |  A list of good restaurants",2024-04-17T01:53:08Z,33469,55,15
송파2동,-VJGXtbNuJg,"맛, 가격, 퀄리티 만점 한우집, 2년 만에 다녀왔습니다",2025-11-09T07:03:21Z,30839,446,199
송파2동,D6zFDODXHDI,한평생 송파구 주민✔️ 실패없는 잠실송파 동네 찐맛집 추천💫,2025-03-05T12:45:00Z,30140,296,26
송파2동,Wr1WX5y3QTI,송파주민 여기 모르면 간첩?,2025-09-06T09:21:25Z,29501,143,17
송파2동,vjQbt6ZpUnE,진짜 개쩌는 송파/성남 맛집 TOP4,2023-08-05T02:05:17Z,28922,284,12
송파2동,rgqR1DP2X94,저렴해서 사다보면 텅장되는 방이시장 맛집,2025-04-24T02:44:44Z,27950,117,14
송파2동,YSKGN-vDYDs,송파에서 즐기는 남도식 요리들! 애호박찌개에 겉절이가 끝내주는 보쌈! 밑반찬도 훌륭한 노포 맛집. #송파맛집 #남도집,2024-07-14T05:39:14Z,26907,132,13
송파2동,yXnc-20OJxA,돈까스에 심장을 바쳐라! 송파 맛집 '신죠오 사사게요' 리뷰 #진격의거인 #에렌예거 #돈까스 #맛집 #캡스파,2025-09-29T12:31:05Z,25875,331,28
송파2동,ZVdwAXhLFJ4,놓치면 후회할 데이트코스 끝판왕! 잠실 석촌호수 맛집 베스트 14,2024-09-09T02:19:11Z,25549,277,15
송파2동,I22o6gRqSY4,송파 주민분들 죄송합니다.. 공익을 위해 공개하겠습니다. #송파맛집 #어복쟁반 #노포맛집,2025-07-19T07:09:41Z,25354,187,6
송파2동,EF0DFj_J0MQ,15년차 현지인 추천 송파 맛집 top3(특: 모임하기 좋음) #맛집 #추천 #송파구 #현지인맛집,2024-03-08T08:15:00Z,23234,109,10
송파2동,jnDN2KDnA3g,"투뿔 한우 생등심 500g이 69,000원이요?? #송파구맛집 #송파맛집 #잠실맛집 #잠실맛집추천 #방이동맛집 #방이동고기집 #방이동회식",2025-05-31T11:03:40Z,22511,39,1
송파2동,k4-YbKr6Zgs,대낮부터 밤까지 줄서는 이유..? #송파맛집 #방이동맛집,2024-08-30T00:41:17Z,21640,64,6
송파2동,5WaD5QXAsxY,송파구 야장에서 솥뚜껑삼겹살을 먹을 수 있는 노포 #불타는포차 #송파맛집,2025-06-06T08:32:43Z,21322,62,6
송파2동,4MlotQoHSl4,두부랑 보쌈을 탑 쌓아주는 노포 맛집. #잠실맛집 #송파맛집 #보쌈맛집,2025-02-10T07:48:44Z,20938,235,9
송파2동,kl4RT4pA5FQ,송파구에서 제대로 된 중식당을 찾았습니다! 곧 핫플레이스 될 식당을 제가 먼저 소개합니다.,2024-05-15T09:00:38Z,20864,742,49
송파2동,oFQ7xNE4zKQ,송파구의 새로운 입지가 될 거여마천뉴타운과 가성비 신도시 위례신도시ㅣ서울수도권 뉴타운 파헤치기(3탄),2024-12-14T07:16:17Z,20695,203,34
송파2동,9iEhK30pEv0,회사 밥집 이곳은 어떤가요..? #일루퓨전한식 #문정역맛집 #문정맛집 #문정역점심 #송파맛집,2025-09-10T07:47:41Z,20418,65,12
송파2동,3yJMR7XdIYM,송파구 가성비 좋게 먹은 매운냉면 노포 #연백냉면 #송파맛집,2025-06-19T07:19:41Z,19816,59,7
송파2동,K36mriBrox8,여기 왜 서울에 한곳밖에 안남았죠..?#서울맛집#송파맛집#잠실맛집#자연별곡,2025-03-05T00:54:06Z,19400,206,7
송파2동,8a7u3LjZYvg,"서울에서 국내산 소고기 무한리필 29,500원!?최저가!!",2025-10-13T09:00:13Z,18896,196,19
송파2동,kuBurzjidcM,송파의 진짜 숨겨진 노포 맛집! 여기 아는 사람 별로 없을듯..? #송파맛집 #조개구이 #떡볶이,2025-11-05T08:24:21Z,17425,161,9
송파2동,Zwez1Ubrjrs,커스텀되는 뷔페? #심비디움 #바르미심비디움 #송파맛집 #food #맛집 #kfood #맛집추천 #데이트맛집 #가성비 #뷔페 #무한리필 #서울맛집 #데이트맛집,2025-11-30T03:17:44Z,17339,84,5
송파2동,ak0sou1dAQs,송파구 석촌 노포맛집 3곳 모음 #송파맛집 #석촌맛집,2025-08-05T10:55:04Z,17121,71,4
송파2동,stq1NIpHdbE,서울 송파구 맛집 TOP10 (티맵랭킹),2025-09-10T03:49:41Z,16845,101,1
송파2동,lYsDFovcqcw,먹자골목 평정한 곱창집? #별미곱창 #방이동맛집 #송파맛집,2024-08-13T00:39:06Z,16755,,6
