district,id,title,publishedAt,viewCount,likeCount,commentCount
신당동,4D4S4_5Mvug,이포어묵 사장님을 찾습니다 #신당동맛집 #어묵,2025-10-07T01:00:04Z,6372611,69885,233
신당동,YoJZ-eZBbtM,50년 한자리에서 호떡할머니‼️ #신당동맛집 #신당중앙시장 #노포맛집 #시장맛집,2024-11-10T11:26:28Z,3945878,68386,1595
신당동2,_PXKt-ACvqs,윤남노 식당,2025-02-13T20:00:26Z,1727409,10686,343
신당동,DQCOLpmIT8s,요즘 난리난 마복림 떡볶이 근황,2025-06-05T12:16:22Z,1649695,12082,3072
신당동,8Z0G359ZLn4,(광고)한 번만 간 사람 못봄 #신당동 #성지 #술먹방,2024-11-13T10:18:57Z,1391232,11810,101
신당동,LLuM5AlJjxA,신당동 노포맛집 5곳 탐방 “둘이서 5차까지” #맛집 #신당동맛집 #힙당동,2025-03-03T08:50:55Z,606187,5804,70
신당동,lYgB4jS8V5A,서울 3대 시장! 이지혜 가족 사로잡은 신당동 핫플 중앙시장 투어(성시경 맛집),2024-07-04T09:15:04Z,492044,7052,1080
신당동,Nn7SfCfX3Ok,50년 레전드노포 3500원국밥 할저씨들의 성지 머리고기3천원 비싼서울땅 원탑맛집 할머니순대국  #노포맛집 #노포식당 #서울맛집 #신당동맛집 #국밥맛집,2025-03-02T04:42:25Z,469096,5780,347
신당동,0ytvGPlWZA4,신당동 15년차 한가인이 꽁꽁 숨겼던 대박 맛집 최초공개 (진짜 맛있음),2025-04-05T02:00:01Z,466909,8393,594
신당동,L9Ph4r2zhyQ,요즘 2~30대들 다 여기간다는데 맞나요? #핫플 #술집 #신당동,2024-07-10T10:20:42Z,445257,2581,22
신당동,WdJ24hi_vYM,"신당동에서 식(食)내림 받은 윤남노의 손맛 찾기 (디핀 4호점 공개, 윤남노 사주, 신당동 맛집)ㅣ윤남노포 EP.02",2025-10-06T09:31:00Z,432503,6311,464
신당동,_5_aXe9ri7c,"신당동 맛집 투어😋알곤이 칼국수, 수육 보쌈, 서울중앙시장 이포어묵 먹방 Sindang-dong Mukbang Tour",2024-04-10T12:50:59Z,427125,8461,200
신당동2,6dB1Igl870I,#장사의신 에서 극찬한 #햄버거 먹어봄,2024-12-13T05:49:47Z,360830,2337,39
신당동2,kgjIWdETKTE,신당역에 맛 없으면 돈 안 받는 고기집이 생겼다고?,2025-09-10T05:23:23Z,283482,495,0
신당동,OZ3nX5-ll5g,요즘 힙당동 데이트 코스,2024-10-18T09:04:38Z,253754,6283,28
신당동,6jrH7CJW0aA,신당동에서 또 속으셨어요? 시장부터 가보세요!!!!!,2025-06-13T09:06:54Z,241733,3849,299
신당동,KVCFT03M8w8,힙당동 맛집에서 하루 세 끼 해치워버리는 방법 - 신당세끼,2024-02-17T11:00:14Z,225428,2883,375
신당동2,fgjCyDNtthE,신당중앙시장 길거리호떡 #명물호떡 #호떡 #호떡맛집 #길거리음식 #시장 #신당맛집 #신당역맛집 #신당동맛집,2024-11-30T10:14:39Z,188457,1706,35
신당동,1L69pF6iSlU,나혼자 서울여행🍞내가 좋아하는 연희동(두둥) 도시 한복판 폭포와 쌈밥 + 꼭 갔으면 하는 타코집! • 연희동 커피와 빵지순례 가이드 - 서울여행vlog(2),2025-06-17T09:00:06Z,156667,2840,212
신당동,3Y5pg-HSqFY,"놀러가요, 신당동! (feat. 맛집투어)",2023-01-22T02:00:02Z,112579,1492,112
신당동,f52hClLfx00,신당동 전통을 이렇게 섞는다고? 힙당동 다채롭게 즐기기! 핫플 맛집｜서울여행 서울데이트,2024-03-01T15:30:09Z,101253,980,55
신당동2,7IrIK3e3q6I,진짜 별로였던 고깃집 #신당맛집 #소고기 #소고기맛집 #중구맛집 #동대문맛집 #허영만 #백반기행,2024-07-24T05:26:07Z,98711,382,28
신당동,A6XN9gWwXK0,신당역 맛집 BEST 11곳! 술맛 나고 미친 가성비 술집 총정리!,2023-06-11T07:16:10Z,78856,1341,63
신당동2,ZYuFKCdI4Pk,이거 하나로 월 매출 2억? #백송 #신당 #신당맛집 #한우 #서대살 #부채살 #허영만 #식객 #한우먹방 #한우맛집 #소고기맛집 #소고기먹방 #한우맛집추천 #서울맛집 #서울여행,2024-12-13T12:51:49Z,74323,780,28
신당동,hMNDiUN_Cc0,노포 분위기 신당역 맛집 BEST 5 ㅣ 주당 어르신들 사랑방은 진짜 원래 이정도임? (최초 공개!),2024-02-04T00:45:03Z,73360,1286,66
신당동2,owcXVb4Vioo,"도둑놈이 인증한 맛집! 신당 노포 하루만에 6차까지 조졌다 (야장+이색안주, 토하고또먹는집까지)",2023-05-21T04:35:06Z,65160,1212,647
신당동,sC1p8Zv3gf4,신당역 맛집 BEST 8 완벽 정리! (노포편),2025-02-18T09:06:32Z,64650,525,9
신당동,pnJLHEzB9OQ,저만의 신당동 맛집이었는데~ 이제 너무 유명해져 버렸네요~ㅎㅎ나 혼자 산다 출연 당시 살던 동네 투어ㅣ신당동 Vlog,2025-10-31T09:01:34Z,60701,1701,97
신당동,sXMqctLKIgM,50년 노포 호떡 장인 신당중앙시장 호떡맛집 호떡비법전수 제자만 100명 #호떡 #신당동맛집 #길거리음식 #kfood #노포맛집,2024-11-11T01:36:00Z,58423,,27
신당동,jhvV5Wl4ewY,'한편으로 보기'들 하도 만들길래 따라 해본 영상!! 근데 한편으로 동네 맛집을 어떻게 소개해?? 신당맛집 난 아직 멀었다규~!!,2023-05-09T09:26:56Z,58300,892,111
신당동2,cHOgKNUQ_yo,신당동 시장 야장 BEST 4 #신당맛집 #야장,2024-05-19T13:41:57Z,48242,193,2
신당동,Ne5JTVmf0sU,"[블라의 맛집] 신당동, 000가 떠오르면 그대는 올드 세대~! 🇻🇳 #포25 #신당동맛집 #신당동중앙시장 #분보싸오",2024-05-14T08:17:56Z,47198,1824,78
신당동2,AIgNSjNEZtM,"선 넘은 35,000원 오징어회 맛집 ㄷㄷ",2025-05-01T09:58:04Z,45724,392,19
신당동,Dw8dJx9Vtp8,지나가는 어르신의 또간집 추천?! #신당동맛집 #옛날통닭 #노포맛집,2025-05-03T05:51:06Z,45213,151,3
신당동,m7QOY-8rmcw,신당동 3500원 갓집 등장! 찐로컬만 아는 갓성비 맛집 찾아왔습니다 ㅣ한끼오천원,2025-05-30T09:01:24Z,45019,822,134
신당동,r4Fvad2n6A8,"신당동 맛집 코스, 이대로만 가면 무조건 성공",2023-07-15T13:09:00Z,43561,205,4
신당동,4D_vMd3D_Iw,신당주민 추천 신당맛집 이것만 보고 가세요! | 서울맛집 대창 곱창 개구리구이 누룽지탕,2025-08-07T11:14:36Z,40507,405,12
신당동2,ecFvH_1zRSw,맥주 한짝 가능한 신당 성시경 맛집,2024-12-15T14:41:09Z,39239,171,29
신당동2,vgDXFUUfJVk,평일에도 항상 만석인 한식뷔페맛집,2025-04-25T06:27:47Z,38680,121,13
신당동,sHdaiBEmK1Y,"서울 중구 신당역 맛집1편, 신당동 떡볶이거리 투어",2025-12-25T11:13:24Z,37764,663,74
신당동,QqCDTwOI4CQ,신당역 맛집 노포 BEST 5 │ 현지 상인들은 퇴근 후 여기로 달려갑니다! 소주 콸콸콸!,2025-08-09T01:45:02Z,37141,652,68
신당동2,NshZdBwWNtk,#신당동 에서 사랑하는 #오리고기 집,2024-11-28T06:58:45Z,35320,412,5
신당동,jI9pVb6sQ0Q,"신당동 브이로그🖤힙당동 힙한 곳들 파헤치기🤵🏻‍♀️(신당중앙시장 현지인맛집.우정닭발.카페.떡볶이타운.소품샵.와인바)비즈키링만들기,서울 브이로그",2025-06-01T10:01:07Z,34006,706,153
신당동,aclhOGxC5pE,신당 2편 서울 중앙시장 맛집 Best 9,2025-12-28T14:22:00Z,33584,612,57
신당동,Fy99BUBVlig,신당동 떡볶이 골목 최신 근황,2025-02-03T11:01:23Z,33009,332,70
신당동2,apWL8RC_ohs,신당 맛집 이것만 보고 가세요! | 서울맛집 신당맛집 육회 칼국수 제육 백숙,2025-06-17T11:53:51Z,32848,189,3
신당동,5hllm1OocbI,[#줄서는식당] (1시간) 신당동=떡볶이라고 누가 그래? 줄식당 픽 영상 보고 신당동 맛집 한 번에 마스터하기🍽️| #샾잉,2023-02-06T02:00:01Z,29401,150,12
신당동2,ycW1xgMH_Ow,신당중앙시장 무려 40여가지 안주가있는 옥이네먹거리,2024-05-23T08:13:44Z,28266,211,2
