district,id,title,publishedAt,viewCount,likeCount,commentCount
여의동,rTtlAiAEPVI,"한강, 더현대 비켜✋여의도 찐맛집 던전 찾았다 | 또간집 EP.30",2023-06-09T09:28:11Z,3249675,29587,1592
여의동,I_1xxB-8-eQ,(ENG) 이세끼 저세끼 다 먹어 봐도 여의도에는 이만한 맛집이 없더라ㅣ명수세끼 할명수 ep.168,2024-02-02T08:30:05Z,1742612,17090,690
여의동,-ZqGXS2uT_Y,[#나혼자산다] 현무가 추천하는 여의도 로컬 맛집🤤 북엇국 X 고추 장아찌 맛집에서 술 한잔하는 현무 & 기안🍶 | #전현무 #기안84 MBC240308방송,2024-03-09T04:27:48Z,1299032,6551,448
여의동,K0kqEonqUgI,여의도 맛집 추천해 주세요 😋 #한끼추천,2024-08-30T09:00:18Z,785079,16394,142
여의동,Zy4GcjWeVmU,"평생 한 번 먹을까 말까한 레전드급 고래고기, 진짜 지렸습니다 #shorts",2025-06-08T08:01:32Z,1125889,11248,224
여의동,pYdqTUx8n_4,웨이팅만 한 시간?! IMF도 버텨낸 30년 전통 돈가스 찐 맛집 (1년 만에 다시 찾아온 여의도!💥) [ENG],2024-03-29T08:30:25Z,752776,7381,417
여의동,T62atXdV2s0,여의도 맛집 총 집합! 한번 들어가면 빠져나올 수 없는 여의도 백화점 삼각지대! [ENG],2023-05-05T08:30:06Z,532446,6371,252
여의동,9slrbVqZrhY,[sub] 성시경의 먹을텐데 l 여의도 서궁,2025-06-18T09:00:06Z,518785,7404,629
여의동,v266-23HwVY,유재석도 단골인 여의도 화목순대국 #여의도맛집 #화목순대국 #유재석맛집 / 인스타 myeong_jonmatt,2023-06-25T15:26:28Z,298412,1447,148
여의동,s5oFdoPeuAc,누가 그래? 여의도에 없다고? 꽁꽁 숨은 여의도 갓집 대공개 🍜ㅣ한끼오천원,2024-12-06T09:01:03Z,213906,2884,247
여의동,S80oK6osN8c,여의도 증권사 구내식당은 무엇이 다를까?! KBS 250603,2025-08-14T09:00:42Z,212680,1323,224
여의동,nKIIPPbnZ0k,"(구) KBS의 아들 이장우, 여의도 카페에서 위스키 한 잔 하고 왔습니다^^",2025-09-04T08:30:25Z,576543,2381,131
여의동,pYxdzG4GlUc,여의도맛집 | 여름이 되면 땡기는 콩국수~♡,2023-07-30T10:00:27Z,130573,6004,716
여의동,mGSQH9ZitL0,여의도 주민이 소개하는 여의도 찐 맛집 1편,2024-12-14T14:34:04Z,119433,1410,121
여의동,P_MumcHE8oE,"길 헤매다 끝난 개강 2주차😇ㅣ드뎌 동기들사귐!!!ㅣ10년만에 미술학원💦ㅣ이대맛집, 여의도맛집투어",2025-09-20T12:27:23Z,117917,1251,234
여의동,O8DE3p-TkPI,여의도 외부인이용가능 구내식당 9곳을 소개해드립니다! #서울맛집#여의도맛집#가성비식당#국회도서관#국회박물관#이룸센터#일신빌딩#태영빌딩#전경련회관#KT빌딩#금투센터#교직원공제회,2024-01-20T06:13:05Z,86784,1357,39
여의동,HYJB839UF2o,더현대서울 여의도 직장인픽 맛집모음,2025-06-21T02:37:19Z,156649,779,1
여의동,7k50S3rfEgU,여의도 맛집 Best 6곳,2024-07-13T07:30:11Z,72565,535,39
여의동,pceoc4MS6zw,[전현무계획2 | 채널S] 이영자 추천 맛집! 여의도 터줏대감 수제비 맛집| 16화,2025-02-07T14:30:26Z,71724,495,99
여의동,2yo_agp3Z9Y,더현대서울 풀코스부터 여의도 맛집까지 - 페어몬트 앰배서더 서울,2023-03-24T12:00:02Z,70987,863,182
여의동,Nu3Ae0SKAVg,냉삼 중독자 김영철이 선정한 레전드 맛집 최초공개 (여의도 40년 찐 노포),2025-05-02T09:20:01Z,69488,1568,138
여의동,OAL4S4hVqYQ,조서형 셰프님이 알려주는 여의도 찐 맛집,2025-08-24T08:20:32Z,87489,1174,0
여의동,-QHwQJYvLi4,더이상 여의도에서 고민하지 마세요,2025-02-06T23:20:00Z,78987,736,3
여의동,rArMzFdlTbk,퇴사하고도 다시 찾는 여의도 맛집 6곳,2024-09-21T07:01:47Z,67436,510,6
여의동,MGQFt8D-w3M,"8번간 더현대 서울 맛집·쇼핑·힐링🍯꿀팁,또간집 대방출(feat.서울주민)",2025-01-22T08:00:14Z,47275,432,24
여의동,0AXRkLknkkU,성시경 먹을텐데 여의도 맛집모음,2024-03-17T22:00:00Z,47986,193,7
여의동,iHiloVROEMA,여의도 맛집 추천해 주세요 😋 #한끼추천 #가양칼국수 #맛집,2025-01-22T09:01:52Z,50887,1364,22
여의동,4YitIEhybd0,다음날 요양이 필요했던 보물 같던 여의도 맛집 (술집) 4차 코스!,2023-12-20T13:24:49Z,37784,757,45
여의동,OzP0QRVxsVE,"여의도 맛집추천에 진심인 편[월드비전(회)사생활 EP.09] | 여의도 맛집, 맛집 추천, 찐맛집, 여의도역",2024-11-07T09:00:18Z,33712,,167
여의동,Qs_XgTdasm8,줄서서 먹는 콩국수 1등 맛집‼️#진주집 #여의도맛집 #콩국수맛집,2025-03-08T12:30:33Z,51229,216,20
여의동,zhg8CHSJLxE,여의도 토박이가 알려주는 여의도 찐 맛집 | 해라맵스 #shorts #여의도 #여의도맛집,2023-08-18T01:30:23Z,34051,151,9
여의동,_spYuUld_EA,여의도 한정식 맛집 '고방채' 귀한손님과 함께 식사해요 고방 수라상 소개해 드립니다,2024-04-14T10:14:33Z,27692,132,
여의동,UKkxEgoeuQQ,여의도가서 이걸 안먹었다고?? #여의도맛집  #여의도 #서울맛집 #shorts,2023-03-05T02:30:11Z,27493,216,4
여의동,4ShlmD_zECs,여의도에서 만나볼 수 있는 우주대스타의 흔적들 feat.BTS 진 형,2025-11-11T10:00:11Z,21674,1230,134
여의동,O12ZdlZF0h0,보쌈 포함해서 이게 다 무한리필이라구요? #여의도맛집 #여의도 #무한리필 #한상차림 #한식맛집 #한식먹방 #보쌈,2024-01-29T06:28:25Z,20045,141,3
여의동,Sfk5xMPZpXs,예약 불가 대기 줄 필수 돈까스 클래스 #거창왕돈까스 #여의도맛집 #돈까스 #돈까스맛집 #맛집,2025-12-06T03:00:40Z,31922,380,31
여의동,gvyo_ckmx_s,여의도 2만원 스테이크 어떤데? #르뵈프 #여의도점심 #여의도맛집 #여의도오마카세,2024-08-27T03:10:31Z,22174,171,6
여의동,iZvNE-HaL0s,여의도 음식 백화점 숨은 찐맛집! #여의도맛집 #여의도백화점 #음식백화점 #찐맛집,2024-12-14T06:33:19Z,22440,61,2
