district,id,title,publishedAt,viewCount,likeCount,commentCount
염리동,XO-UqGjZomc,[sub] 성시경의 먹을텐데 l 공덕동 원조신촌설렁탕,2023-09-21T09:00:11Z,1328109,16599.0,1130.0
염리동,Y8khrlMnP3k,직장인 맛집으로 곽! 찬 핫플 블루오션 (공덕역) | 전역자 ep.05 [EN/JP/ID/VI/TH],2024-02-06T09:00:10Z,872260,8764.0,535.0
염리동,XoXuHUdPeSY,족파 먹어 봄? 공덕에서 찾은 완벽한 족발 조합(전문점 퀄리티 순대국 서비스~!) [ENG],2024-03-15T08:30:17Z,451854,5538.0,220.0
염리동,vQPqFDWIJAU,제철 생새우회 드셔보셨나요? 🦐,2024-08-19T12:00:40Z,360942,2061.0,28.0
염리동,h3asFo2YtT0,실패하지 않는 공덕역 커피맛집 Top 3,2025-02-21T12:37:52Z,163510,4448.0,54.0
염리동,i3rPx07K3lU,안보면 후회하는 마포 A+ 맛집 모음 [2025년 상반기],2025-05-13T13:50:57Z,93015,1483.0,20.0
염리동,uwNuc6SX-sU,작년부터 준비한 공덕맛집 10곳,2025-05-27T23:20:01Z,75584,660.0,7.0
염리동,VsNzzjUpriY,공덕 직장인 친구픽 맛집3군데 풀어봅니다!?,2025-07-16T13:03:39Z,71297,745.0,3.0
염리동,DuWTXLLYsBs,"(마포/공덕) 전국에서 찾아오는 국보급 수타 간짜장, 신성각! [맛있겠다 Yummy]",2023-02-24T04:19:58Z,68815,1287.0,81.0
염리동,qm2LDnQat1w,마포/공덕맛집 찐맛집 Best15 - 공덕에서  2년간 일하며 수집한 찐맛집 소개 #공덕맛집#마포맛집#경의선숲길맛집#서울맛집#노포맛집,2024-04-20T06:36:47Z,66889,557.0,45.0
염리동,Y4yv6x2T_v8,공덕역맛집 메뉴고민 끝! 메뉴판은 아래에!↓↓↓하루 한곳만 다녀도 한달 후딱~ 지나갑니다! #공덕맛집#마포맛집#경의선숲길맛집#서울맛집,2023-06-03T04:10:48Z,60222,527.0,30.0
염리동,SAZX_rKePEY,"마포구 공덕 현지인 찐맛집 TOP5, 짬뽕이 미쳤는데!?",2023-12-14T03:00:10Z,58311,596.0,10.0
염리동,SdZVMS1oyiw,46년 전통 마포 터줏대감 보쌈 맛집 #서울맛집 #보쌈맛집 #마포맛집 #공덕맛집#쏘울맛집 #맛집 #seoulfood #koreanfood,2024-07-22T11:57:36Z,53680,539.0,28.0
염리동,eGngrIOk3tM,181 은하장 (서울 마포구) 중식맛집 리뷰 by 키다리짬뽕아저씨,2025-07-12T11:01:07Z,53005,960.0,245.0
염리동,FMKWjpui6jM,"[마포역 맛집 BEST 6] 마포/공덕역 근처 맛있는 것만 먹고 왔습니다 +주차정보 (마루심, 마포원조떡볶이, 기노, 현래장, 램랜드, 색동저고리)",2023-07-30T09:55:51Z,43769,,13.0
염리동,RdpcjIZwkpE,178 하하 (서울 마포 공덕역) 중식맛집 리뷰 by 키다리짬뽕아저씨,2025-06-06T14:55:13Z,38795,675.0,179.0
염리동,l-a8H390xts,10만원 넘는 호텔뷔페보다 맛있는 공덕역 호텔뷔페,2024-09-29T06:22:52Z,29302,251.0,2.0
염리동,aT11EgS1gXo,"순대와 순대국을 서비스로 주는 푸짐한 한상 차림, 공덕역 맛집 장수 족발  Korean Pig trotter / Korean Street Food / (Jokbal)",2023-07-03T11:29:23Z,27802,205.0,11.0
염리동,ywVfCQqPh5E,"로컬 변호사가 추천하는👍 서울 서부지방법원 맛집 TOP 5 (a.k.a 마포 맛집,공덕 맛집) [히어로이어]",2024-11-07T07:00:36Z,27324,,75.0
염리동,umO3Cy3SrrE,마포구 공덕역 맛집,2024-02-20T11:00:48Z,25721,158.0,2.0
염리동,P3D7k4t3cVU,[전현무계획2 | 채널S] 이런 투박한 비주얼인데...? 공덕동 전설의 보쌈 맛집 대공개! | 3화|,2024-10-25T15:00:23Z,25697,130.0,34.0
염리동,xGjK6tt43-c,청국장 공짜?🫢,2025-06-04T03:51:17Z,25561,132.0,5.0
염리동,pp8b-RrUepM,푸짐한 중식 요리를 맛보는 '보배반점 공덕점' - 마포 맛집 마슐랭,2023-11-16T02:00:18Z,23152,39.0,0.0
염리동,DpclV_W3VCo,"순대와 순대국을 서비스로 주는 푸짐한 한상 차림, 공덕역 맛집 장수 족발  Korean Pig trotter / Korean Street Food / (Jokbal)",2023-07-01T07:38:43Z,22960,154.0,7.0
염리동,RV6FCgiM4mw,마포 • 공덕 Best15 중 두번째! #마포맛집#공덕맛집#횟집#우리회수산#공덕횟집#마포횟집#먹방#shorts,2024-02-19T15:51:42Z,22343,105.0,2.0
염리동,ui72YYsST7I,"서울 마포공덕역 먹을때마다 달라지는 밥그릇 #리정원 김치삼겹두루치기+솥밥 11,000원 (계란말이 무한리필) #마포맛집 #공덕역맛집 #공덕맛집 #마포역맛집",2025-05-21T22:17:00Z,21546,56.0,2.0
염리동,Lu9kJnOoVvY,마포 4대 설렁탕집 빠른소개!  #서울맛집#마포맛집#공덕맛집#설렁탕맛집#마포옥#마포양지설렁탕#한양설농탕#원조신촌설렁탕#성시경 먹을텐데#shorts,2024-01-13T04:40:43Z,21336,151.0,9.0
염리동,9b68lh1M5gA,마포 공덕 직장인들의 성지! 노포 돼지갈비집 #마포맛집 #마포술집 #공덕술집 #공덕맛집 #공덕역맛집 #노포맛집 #돼지갈비맛집,2025-03-10T05:21:45Z,21261,70.0,6.0
염리동,gJ4Xd9QuIiw,수제 만두전골과 들기름막국수가 역대급! '운주당' - 마포 맛집 마슐랭,2023-06-19T05:36:57Z,20575,13.0,0.0
염리동,ZFrUX94oiDg,공유) 근본 집밥 땡길 때 들리는 50년 노포 백반집🌟 #공덕역맛집 #집밥 #노포맛집 #백반맛집,2025-05-10T08:19:40Z,16738,95.0,4.0
염리동,aItL1tXUPGQ,"서울 공덕역 김치찌개인가? 두루치기인가? #리정원 김치삼겹두루치기+솥밥 11,000원 (계란말이 무한리필) 김치찌개 처럼 먹다가, 자박해지면 삼겹두루치기#마포맛집 #공덕역맛집",2025-05-20T23:27:00Z,13684,35.0,1.0
염리동,OwjC5QpK64s,협찬 매운 불맛의 짬뽕라면 레시피 #리정원 #공덕맛집 #공덕역맛집 #마포맛집 #마포역맛집,2025-05-03T22:18:35Z,13326,57.0,1.0
염리동,Bp6mzJWro_o,공덕역 30년 갈매기골목 20년 노포 돼지 특수부위 전문점 야장맛집 다녀왔습니다. 고기 때깔 미쳤고 쌈야채+대파김치 무제한 #서울맛집 #공덕맛집 #노포맛집 #노포식당 #공덕역,2025-05-03T09:46:20Z,12584,27.0,4.0
염리동,YbFAytCUBeM,협찬 마포 공덕역 전라도 애호박찌게 꽃게 삼겹살 #리정원 #마포맛집 #공덕역맛집 꽃게 구이와 삼겹살을 같이 먹을수 있는 공덕역enjoy Jeolla-do food in Seoul,2025-05-01T21:27:12Z,11396,40.0,1.0
염리동,aXv3FMpReas,삼겹살에 닭발? #리정원 #공덕 #공덕역 #공덕맛집 #공덕역맛집 #마포구맛집 #서울데이트 #서울맛집 #서울 #서울여행 #삼겹살먹방 #닭발먹방 #삼겹살 #칼집삼겹살 #마포맛집 #마포,2025-07-01T15:13:48Z,11157,30.0,2.0
염리동,L4jMbQZ3Sog,"[공덕역 2차로 갈만한 14개 맛집(서울에서는 여기가 곧 뜰 것 같습니다), #31]",2024-03-31T00:05:17Z,10443,85.0,8.0
염리동,d0v5TOHMvxQ,25년 단골이 추천하는 공덕 동네맛집? #마포맛집 #공덕맛집 #공덕역맛집 #공덕술집 #공덕회식장소 #꼼장어맛집 #쭈꾸미맛집 #닭발맛집,2025-03-09T05:49:59Z,10025,32.0,2.0
염리동,aJqkTv3ARKI,❣️원조갈매기❣️서울 마포구 새창로 21 #마포맛집 #공덕역맛집 #등심멋집 #원조갈매기 #마포원조갈매기 #마포갈매기 #마포갈매기살 #공덕갈매기 #공덕갈매기살 #마포숯불구이,2025-01-16T07:21:07Z,9776,40.0,0.0
염리동,HoQEuSDqsJs,행복해지는 경의선숲길 야장맛집😚 #인기급상승 #공덕역,2025-05-24T04:55:09Z,9122,25.0,2.0
염리동,Q4K1w023Oh8,❣️해물기와❣️#공덕맛집 #공덕역맛집 #공덕회식 #공덕역회식 #공덕횟집 #공덕역횟집 #공독슐집 #공덕역술집 #공덕고등어회 #고등어회 #고등어회맛집 #고등어회전문 #고등어회추천,2025-05-29T11:10:47Z,8566,27.0,1.0
염리동,XIfMTS5FB_4,한식 VS 일품 어느것을 먹어야 하나? 공덕역 FRONT1 구내식당,2023-05-13T00:01:04Z,8541,185.0,20.0
