district,id,title,publishedAt,viewCount,likeCount,commentCount
용강동,RsmSQDW543g,"1마리 45,000원 간장게장",2024-07-09T09:15:02Z,2683656,29148,850
용강동,sxZdIjp8iRw,아직까지 변하지 않은 부동의 1위 인생만두집,2025-03-21T03:45:32Z,1726414,21599,129
용강동,xZUaA5mmRl0,12000원에 이게 다 무제한이라고?😳,2024-07-25T03:20:58Z,1286504,5189,200
용강동,O2sm-3u0_zs,돈만 있으면 매일 가고 싶은 용산 1티어급 프렌치 가정식 #shorts #맛집,2025-08-19T08:31:35Z,1256820,20704,123
용강동,QvMP73lnCQk,서울 가성비 1만원대 호텔 뷔페 5곳,2025-09-27T23:23:27Z,1206258,18255,624
용강동,HpljEbvitGw,흑백요리사 시즌2 합격자 무쇠팔 셰프님의 메밀 오마카세 #shorts #맛집,2025-10-23T08:32:31Z,858007,8719,258
용강동,we7qK9zg8rM,"구독자 추천 인생 양고기 맛집! 처음 와본 마포 양고기 성지에서 수육부터 전골까지 풀코스 먹고 온 이장우^^ (ft. 양고기, 수육, 전골, 양갈비, 화이트와인, 솔잎주, 소맥)",2025-11-27T08:30:37Z,530801,1301,227
용강동,m-baQ6pv2MY,90년 중식 외길👩‍🍳 3대가 이어온 연희동 중국집[ENG],2025-10-17T08:30:25Z,466616,5324,501
용강동,aVpD3avge9A,가격이 전부는 아니더라고요.,2025-08-14T12:00:03Z,264136,4023,204
용강동,8PnVxFq_KSU,마포구 맛집추천! 5개이상가봤다면 쩝쩝박사 ㅇㅈ,2024-05-14T10:18:54Z,256856,8529,35
용강동,yqUMOzSH5xA,마포역 노포중국집 짜장면 먹방 낙지짬뽕 간짜장 탕수육 새우볶음밥 팔보채 쟁반짜장 중식 먹방 korean mukbang eatingshow,2025-01-16T12:15:06Z,232009,5074,157
용강동,l5IHkPFKnZA,마포 맛집 추천,2025-05-24T12:01:32Z,119293,857,71
용강동,0HZ2WBqiv2k,"*한우다이닝 모연* 마포맛집, 공덕맛집, 마포역 맛집, 마포한우, 마포소고기, 여의도한우, 여의도 소고기",2025-02-07T07:45:51Z,111082,150,0
용강동,YgRBs6Y-4Gs,45년 된 돼지갈비로 건물 3개 세운 집,2024-09-22T11:00:36Z,104403,,14
용강동,1JUfZYyueLo,평일은 2만원대? 가성비 미쳐버린 초밥 뷔페 3곳 비교 | 다이닝원 vs 쿠우쿠우 골드 vs 더메이드,2025-12-18T09:00:02Z,104132,1239,146
용강동,i3rPx07K3lU,안보면 후회하는 마포 A+ 맛집 모음 [2025년 상반기],2025-05-13T13:50:57Z,93025,1483,20
용강동,1PJ5Xr3TguE,마포 맛집 베스트10! [맛있겠다 Yummy],2024-12-31T17:21:37Z,90107,1025,49
용강동,Xx7e8MNSWPE,【마포맛집】돼지갈비 노포의 맛을 동치미국수와 싸먹는다!『고독한 돼지갈비』(KOR/JPN sub),2025-11-08T09:00:54Z,88730,4302,351
용강동,kc99lIfDgPQ,마포 한강벨트 마포역 4번 출구 30초 초초역세권 줍줍,2025-09-03T10:26:18Z,87853,6,
용강동,QPOOC8QH9pU,동네맛집 ‘마포구’ 로컬은 어디가?,2024-11-04T11:39:21Z,83995,,3
