district,id,title,publishedAt,viewCount,likeCount,commentCount
중림동,jZITcMvgONA,"국가권력급 술쟁이의 味쳐돌은 맛집 탐험. 서울1등 가성비 소고기, SSR급 노포 돼지국밥. 서대문 충정로 맛집",2024-02-04T09:43:45Z,363459,3441,579
중림동,gVG5xCH9fBA,성시경이 인정한 서울 맛집 top10,2025-03-01T14:04:46Z,288611,1262,70
중림동,9ntqZkBnl9o,닭도리탕이 메인인데 2200원짜리 닭꼬치 먹으러 오는집,2023-09-03T06:00:07Z,280947,2052,68
중림동,qtFMzYfXW2o,2대째 50년 전통 충정로 철길 떡볶이 먹방 라면 순대 튀김 김밥 어묵 삶은계란 김말이 야끼만두 분식 먹방 mukbang,2023-08-13T12:15:08Z,263751,5593,149
중림동,Z0SSMuySeII,이 가격에!? 아무데서나 먹을 수 없는 고급 생선들이 즐비하는 오지는 코스 횟집,2023-04-18T11:40:01Z,233239,3740,305
중림동,7ejrWBY-M-c,서울 충정로역 맛집 Best 7곳,2025-08-15T08:23:42Z,83602,1286,101
중림동,tahmT8wM0Dc,Korea Food! The Secret Recipe of Cinnamon roll Amazing Taste 서울맛집 충정로 구우움 시나몬롤,2025-09-02T03:01:03Z,58141,699,9
중림동,1TM5pdwEnNc,"여의도, 광화문, 충정로 서울 직장인 맛집 베스트 10! [맛있겠다 Yummy]",2025-01-28T22:15:00Z,55911,692,22
중림동,QoQLI3PIkP8,아침 7시부터 오픈하는 충정로에서 제일 유명한 맛집의 옆집,2023-09-10T06:00:17Z,53412,453,12
중림동,H9tk-AvQ6To,논란도 인기도 많은 철거 위기 떡볶이‼️ #철길떡볶이,2025-05-21T07:10:01Z,49863,161,20
중림동,1_9eH3iITkI,영화 길복순에도 나와 더 유명해진 충정로역 근처 철길떡볶이예요. 꾸덕한 고추장 양념의 밀떡볶이가 익숙하면서도 새로운 맛인데 제 입엔 딱 맞더라구요. 철거 예정이라서 아쉬움이 남아요,2024-05-23T10:24:42Z,24015,,
중림동,NfmTnzeHms0,곧 철거 위기에 놓인 충정로 50년된 기찻길 떡볶이 들어봤어? 레트로감성 미친 기차뷰 노포 끝판왕! #철길떡볶이 #떡볶이 #순대 #튀김 #오뎅 #기차 #길거리음식 #레트로 #간식,2024-08-16T09:09:15Z,23246,351,13
중림동,5AjyvjcjMx4,원수가 가더라도 한번 쯤 말릴 서울 노포 분식집 후기,2024-10-10T08:24:38Z,21409,106,13
중림동,zCFe4VnB-yg,철길떡볶이 #떡볶이맛집 #떡볶이 #철길떡볶이 #분식맛집 #추억의맛집 #충정로역맛집,2024-08-17T21:21:17Z,14618,256,17
중림동,92V7zTu6388,갓성비는 이런곳을 두고 하는말 아닐까요..? #서대문구맛집 #한우맛집 #충정로맛집,2025-04-21T03:35:48Z,13508,53,4
중림동,FnSiVYJ9iIA,호앙비엣 충정로점 #호앙비엣 #충정로맛집 #쌀국수맛집 #쌀국수 #베트남요리,2024-08-19T04:47:26Z,13389,98,8
중림동,Kg3i2oet6YY,묻지도 따지지도 말고 고기는 두툼!!!! 드라이에이징 삼겹살과 목살!!!충정로 고기맛집!!  l두툼l,2023-03-19T10:33:56Z,9239,22,1
중림동,_cLz-ttkuNE,서울 충정로 철길떡볶이 #서울맛집 #서울노포 #충정로 #충정로노포 #철길떡볶이 #서울떡볶이 #충정로떡볶이 #서대문구,2024-05-11T13:57:49Z,8838,50,0
중림동,xlyVvRpJ_s8,충정로 노포 곱창막창집 #노포맛집 #충정로 #야채곱창 #막창,2025-03-16T07:40:17Z,8499,63,1
중림동,v1KRYyqbRgQ,유튜브 김사원세끼 추천 식당#중림동물고기 #충정로맛집 #서울역맛집 #서울역술집 #이모카세#삼촌카세 #오마카세맛집 #회맛집 #중구맛집 #서울역맛집추천 #서울역맛집 #오마카세 #협찬,2024-03-28T12:53:15Z,8391,36,4
중림동,-0obzLEOUlc,충정로에서 가장 유명한 맛집의 옆집을 가봤습니다,2023-09-10T06:00:00Z,8179,324,44
중림동,M_DU_h8SHGw,기차 뷰 떡볶이 👍 한국 오자마자 #떡볶이 달려!!😝 #철길떡볶이 #떡볶이맛집 #길복순떡볶이 #먹방,2023-04-24T10:10:11Z,8108,159,28
중림동,9M1iez9z5Ks,기찻길 떡볶이맛집 철길떡볶이 #떡볶이 #떡볶이추천 #떡볶이맛집 #충정로 #떡볶이먹방,2024-03-24T13:27:17Z,8001,56,6
중림동,lNyykTGlBEk,충정로 찐노포 왕십리전통곱창[네이버 검색:전통분식] #왕십리전통곱창 #전통분식 #찐노포 #찐맛집 #분위기맛집 #돼지곱창 #충정로맛집 #서대문구맛집,2024-03-15T02:46:35Z,7685,41,0
중림동,QaIU897vnmw,충정로 직장인 한번씩은 다 가봤다는 고깃집 #고릴라,2024-01-31T10:27:18Z,6925,58,10
중림동,31ix_CrqJbs,양갈비+피자+파스타+와인까지 8만원대 서울역 뒷골목 숨은맛집 뇨끼도 미쳤어요. 만리재비스트로별관  #서울역맛집 #충정로 #파스타맛집 #피자맛집 #서울맛집,2025-02-09T03:49:49Z,6379,39,2
중림동,nLmj_Ef8VY0,사장님 언제까지 나오는거죠? #먹스타그램 #맛집 #맛집추천 #오마카세맛집 #충정로 #서대문구맛집 #충정로역 #food #회맛집,2024-11-06T23:08:24Z,6377,28,3
중림동,9owDJyukcY8,충정로역  1인7천원 백반노포 본가한정식 골목길에 숨겨진 비밀맛집입니다. 16년 찐맛집. 7천원에 제육볶음에 생선두가지 포함 꼭 가보세요.  #서울맛집 #노포맛집 #노포식당,2025-01-06T07:05:38Z,5402,49,0
중림동,Cj5zwfA1ZM0,충정로 재패한 육회&된찌 맛집 #도마,2024-02-05T10:03:35Z,5002,20,2
중림동,1qJBvtYw2qg,50년 전통 서울 떡볶이 맛집 (충정로 철길떡볶이),2024-09-19T06:43:49Z,4765,61,23
중림동,629lakrGHU8,진순자김밥과 철길떡볶이의 콜라보 좋은데? #철길떡볶이 #떡볶이맛집 #계란말이김밥,2024-05-20T07:18:38Z,4743,42,3
중림동,h-u6SgR68CQ,👉 “서울 국밥집 TOP10 🍲 다이닝코드 맛집 랭킹 공개!” #서울맛집,2025-09-23T14:05:52Z,4573,18,2
중림동,B0tj32Z3hs0,상권에 맞춰 메뉴 개발한 사장님,2025-02-21T08:30:03Z,4566,73,2
중림동,e9msCADcJE0,26살 카페사장 단체주문 받다 #개인카페 #충정로 #서대문 #20대사장 #단체주문 #에그타르트 #카페 #사장님,2023-11-29T07:51:46Z,4471,,0
중림동,daG9bU8TOTQ,충정로 직장인들의 소울푸드인 곳?,2023-10-03T11:15:02Z,4324,42,0
중림동,p-_kuG320HY,느릿 느릿 술이 익어가는 마을로 초대할게~ #느린마을양조장 #충정로역맛집 #충정로 #충정로맛집 #충정로역맛집,2025-07-20T14:56:47Z,4252,16,1
중림동,LkWsREKG0P4,"충정로역 조개조 조개요리전문점, 퇴근 길 낙곱새에 소주 한잔, 곱창대신 크림맛의 대창이!?  | 맛집탐방(Good Restaurants) #koreanfood",2024-12-08T11:07:32Z,3749,5,0
중림동,d3_NCrm_EW8,충정로 쌀국수맛집 호앙비엣,2024-10-08T01:55:09Z,3619,16,4
중림동,9BfuUpsiYh4,충정로역 밥집 충정로 한식 - 어반할미,2023-09-16T20:58:34Z,3320,13,2
중림동,llaR2nTt9Yw,#k직장인 #충정로맛집 #점심메뉴추천 #오늘뭐먹지 #돈까스가땡길때 #서대문맛집 #직딩 #서대문경찰청맛집 #돈땡,2024-05-24T05:24:22Z,3264,19,0
중림동,F8jKl7uyMLk,"♥ 🚂 기차 보며 먹는 철길 떡볶이, 서울의 마지막 추억 맛집~",2025-10-13T11:15:03Z,3172,20,14
중림동,2ZwdyYlA5IE,#shorts 몽탄 사장님이 하는 충정로 두툼 삼겹살! 신당 직화장인이랑 박빙 samgyeopsal pork belly bacon,2023-05-15T09:36:16Z,3147,11,1
중림동,69g1uP85o5s,🥢 대학가+직장인 강추! 서대문구 TOP10 맛집 모음,2025-08-12T14:34:56Z,3033,17,2
중림동,tV0gfji8QFc,충정로 직장인들이 인정한 커피맛집 램미커피 #충정로맛집 #충정로카페 #커피맛집 #카페투어 #광화문맛집,2024-04-10T22:54:42Z,2742,26,3
중림동,w7yVptQ05c4,서대문구 맛집 TOP5,2023-06-17T03:00:33Z,2644,18,0
중림동,saXZ6LPzqpE,막걸리가 무한리필이라구요??#충정로맛집 #충정로역술집 #서울역맛집  #느린마을막걸리 #배상면주가 #무한리필 #술무한리필#막걸리맛집 #맛집추천 #술집추천,2025-04-29T15:02:28Z,2635,5,0
중림동,R-5BLV6YC18,50년 노포 중림장 도가니탕  #중림장 #설렁탕 #도가니탕 #노포 #중구맛집 #충정로맛집,2024-11-13T02:00:21Z,2615,16,0
중림동,4z3rnnRM9S0,양념게장비빔밥 맛집 찾음 !!!! 충정로역 맛집.,2023-08-16T11:21:32Z,2610,15,0
중림동,8ceFFvh5pig,"나 또 맛집 찾았네,,, 육전비빔칼국수와 고추튀김 맛집 ! 충정로역 맛집",2023-08-02T12:11:41Z,2596,33,0
