district,id,title,publishedAt,viewCount,likeCount,commentCount
청담동,1hcEESWWf4o,흑백요리사2 메추리를 도륙낸 삐딱한 천재의 식당 솔직후기 #shorts #맛집,2025-12-27T08:34:25Z,1749414,19705,705
청담동,QrfHf-zw6LM,이원일 셰프가 차린 식당은 과연 얼마나 맛있을까?? #shorts,2025-06-19T08:29:43Z,1490823,15654,382
청담동,u5L61yE42Vw,청담동 1인 7만원 오마카세,2025-09-01T09:15:06Z,1936523,18738,259
청담동,d8BAstFpdW0,"선 제대로 넘은 60,000원 김밥집 ㄷㄷ",2025-06-16T08:41:20Z,1076490,9639,566
청담동,O2sm-3u0_zs,돈만 있으면 매일 가고 싶은 용산 1티어급 프렌치 가정식 #shorts #맛집,2025-08-19T08:31:35Z,1240628,20470,121
청담동,hPrdyApEPTc,전국에서 가장 비싼 고깃집에서는 대체 뭐가 나올까?? #shorts,2025-06-18T08:31:57Z,787646,7652,443
청담동,X-tZ8OHaqXs,"99년도부터 청담동 산 한고은이 공개하는 진짜 단골집 5곳 (빵지순례, 원두맛집, 가성비와인, 오마카세)",2025-11-27T09:00:54Z,248809,5474,311
청담동,2BufsdXheVw,서울 강남구 청담역 맛집 Best 10,2024-07-09T02:29:09Z,149893,1852,156
청담동,k7gr4zgUsMQ,청담동에서 가장 유명한 목살맛집 #길목 #서울맛집 #강남맛집,2023-07-04T08:59:17Z,138478,999,47
청담동,prSeFHg0dQc,여긴 진짜 큰 맘 먹고 공개합니다 #shorts #맛집,2025-12-24T08:38:55Z,98272,1127,302
청담동,MIGCpEAq-4k,인생 최고의 야끼소바 #shorts #맛집,2025-09-18T08:30:34Z,81689,1323,332
청담동,NWBKzPRV7JE,Thank... you... #idolnation #아이돌네이션 #청담장어마켓 #청담맛집 #맛집추천,2025-04-03T23:10:42Z,89639,1394,28
청담동,5-CfJJzAqXg,신앙 그 자체인 맛집.. 강남 셰프 양성소라 불리는 전설의 이자카야,2025-12-01T09:58:07Z,74571,762,16
청담동,i_wLT-c6a0Q,탑스타들이 단골인 청담역 맛집,2025-01-16T11:00:56Z,35001,204,4
청담동,JV905BdezWo,안성재 셰프가 리스펙한… 윤화영 셰프의 청담 ‘프레드므아’! ‘프랑스 유학시절에 먹던 맛이에요..‘,2025-12-20T14:07:04Z,32294,417,41
청담동,9T6tVnGMXgs,"콜라 한캔 9천원, 청담 물가 실화냐..? [최고가 미엘 김치볶음밥 후기]",2025-11-02T03:05:03Z,46065,335,87
청담동,RLbHw3gtnPk,"압구정 청담 맛집 탐방, 루이비통 카페 메뉴 & 가격 총정리",2025-08-17T14:12:36Z,25899,284,45
청담동,Sh4LYy2d4fM,청담동에도 가성비 맛집이 있다!! #연예인 #맛집,2025-05-21T09:00:48Z,39498,287,19
청담동,HP9qYBqHVAo,유명 배우분들이 자주 찾고 줄 서 먹는 청담동 맛집,2025-11-16T02:29:40Z,28208,201,8
청담동,PN2hFHHr6eI,청담 새벽집 육회비빔밥 #koreanfood #bibimbab #청담맛집,2023-08-10T11:25:14Z,22746,49,3
청담동,xwQXlrciRAw,연예인들의 순대국 맛집 #청담맛집 #신의주찹쌀순대,2024-09-08T10:30:30Z,14227,59,13
청담동,wwd-WCBJpBM,이게 진짜 들기름 막국수 #만천리상회 #청담 #청담동 #청담맛집 #청담동맛집 #청담역 #들기름막국수 #막국수 #비빔막국수 #막국수맛집 #최강록 #국수먹방 #막국수먹방 #면먹방,2025-05-27T13:51:59Z,25361,138,2
