district,id,title,publishedAt,viewCount,likeCount,commentCount
효창동,vThMM_rpcuU,성시경 먹을텐데 서울 맛집 TOP 12 - 실제 다녀온 사람들의 후기가 가장 좋았던 연예인 성시경 맛집 입니다,2024-07-22T07:35:35Z,517638,3044.0,72.0
효창동,ZUXxgc0hQQE,"요즘 뜨는 효창동 그냥 걸었어! 효창동 핫플 카페, 서울 3대 붕어빵",2025-01-08T11:00:43Z,287975,5340.0,363.0
효창동,tukUR27bgxk,숙대생들도 좋아하는 기사식당 맛집?!,2024-04-05T11:07:02Z,285261,5029.0,413.0
효창동,f8YEum7O-z0,"용산 유명한 맛집, 볼거리 우리도 알자고요,,｜서울여행 서울데이트 용산맛집",2024-12-22T16:48:03Z,180987,3071.0,103.0
효창동,Kv1ChxTGXAo,효창공원앞 용문해장국,2025-11-09T03:30:17Z,164529,1804.0,379.0
효창동,ueow0lq5GKs,힙함과 허름함이 공존하는 용산의 맛집들. 10시간 동안 6차까지,2023-09-20T11:00:50Z,107114,1566.0,147.0
효창동,UytKpQPMqIE,뻥 치지마!!!!#국밥맛집 #안주맛집 #수육맛집 #용산맛집,2025-01-13T23:38:05Z,100233,517.0,22.0
효창동,zLLqpuvXtlo,88세할머님이 운영하는 라면전문점,2024-08-01T10:15:46Z,93306,1625.0,28.0
효창동,eefqSRoaWGU,용산 맛집 베스트9 한방에 몰아보기! [맛있겠다 Yummy],2024-02-15T14:08:32Z,90895,871.0,25.0
효창동,A-rNTMCydFc,실패하지 않는 용산구 커피 맛집 Top 4,2025-06-25T06:00:17Z,80087,1565.0,32.0
효창동,wnHfR0wQOkw,"효창동 나들이 ! 브런치, 낫토 맛집, 퀸아망, 떡갈비 한 상",2025-05-04T02:00:52Z,37105,594.0,45.0
효창동,RQjBc_6aLhU,붕어팥을 찾으시나요? 서울 3대 붕어빵 맛집‼️,2025-12-06T01:30:21Z,33416,230.0,27.0
효창동,Ch-R9dSn0tU,겨울 대표 제철 해산물 굴 석화찜 생굴 생굴보쌈까지 기가막힌 용산역 효창공원역 맛집 원효굴찜 굴요리 천국 굴맛집 굴찜 주말 웨이팅 살벌함 평일에 가보셔요~,2024-11-13T11:10:27Z,33356,265.0,12.0
효창동,nKfgee7kqi8,"- 평일࣪ ˖ 연차࣪ ˖ 쉬는 날 어디가지? 한적한 휴일을 즐기기 좋은 코스 4곳 모음𖠚ᐝ 1) 효창공원, 2) 부암동, +ᴈ) 행궁동, 4) 서촌, 5) 홍대",2025-05-04T16:03:28Z,30949,720.0,13.0
효창동,2gU4Hm8fTO0,"가을 느좋 데이트 코스🥨 이번주 같이 효창공원 걸어볼래🥰? ㅣ코쿤, 삼정카페, 마타샤효창",2025-09-26T09:00:08Z,18634,458.0,31.0
효창동,VlvLsg-BJvU,효공잉어빵 / 3대붕어빵 (2),2024-11-23T04:25:11Z,18391,185.0,19.0
효창동,BzXlKzj6nw4,효창공원 근처 작은 핀란드. 북유럽 감성 카페 미쳤네요 ☕️,2025-05-16T10:00:20Z,17806,274.0,19.0
효창동,XsC9sMHfHcE,생소한 냉면에 돈가스 조합 근데 맛있네요? #쯔양,2025-04-05T01:57:19Z,17803,59.0,2.0
효창동,271lq05B-KY,"매번 삼각지, 신용산만 가는 당신에게...안 가면 후회할 👉효창동 빵 맛집 5대장👈 알려드림🥐",2025-10-19T11:00:11Z,16784,329.0,32.0
효창동,SNqTllDdJnI,아마 처음보는 유형일겁니다.,2025-12-28T07:50:00Z,14860,95.0,8.0
효창동,149LPjg57Yk,양념게장에 싸먹는 삼겹살집,2025-09-04T23:21:00Z,14228,131.0,6.0
효창동,dnKrsvKKmT8,국내산 돼지만 쓰는 근본있는 집 서울 보쌈 맛집 여기로 종결 하실게요,2025-05-21T08:00:46Z,11407,124.0,18.0
효창동,7RfWxFFmK9Q,[서울] 효창공원역 인근 녹차물냉면 맛집 '산골녹차냉면' 본점,2024-01-20T01:16:41Z,10673,44.0,3.0
효창동,GsWgkrdTrBM,숙취로 죽겠는데 굳이 여기까지 가서 먹음 #shorts,2023-02-08T02:00:10Z,9795,52.0,5.0
효창동,7rmHrM8LtVM,"누나랑 빵투어 (대흥, 효창공원편) Ep.03 서울에서 찾은 미친 크로와상 🥐🥐",2025-06-27T10:00:13Z,9385,148.0,27.0
효창동,ES0FZ32DsPE,서울에서 이렇게 구워주는 곳 흔치 않습니다,2025-01-31T23:30:04Z,9113,67.0,5.0
효창동,rW3PEP4y9iM,서울 3대 붕어빵 투어,2024-02-20T02:45:04Z,8738,130.0,8.0
효창동,dHr2FB8AyNg,택시기사님들이 인정한 서울 해장국 맛집 : 효창공원 한성옥해장국,2023-01-30T02:00:10Z,8670,58.0,10.0
효창동,ZRhhTVmPYGc,찰찰보리 효창공원점 #맛집 #shorts,2024-11-10T14:11:01Z,8061,30.0,10.0
효창동,AocG8LYaN2o,흑백요리사 셰프님들도 회식하는 용산 해장국 맛집 feat.15년 연속 블루리본 #용문해장국 #해장국 #용산맛집 #효창공원 #흑백요리사 #블루리본맛집,2025-12-23T10:38:45Z,7004,16.0,1.0
효창동,KsoveXY_R8Y,영하10도에도 줄선다는 신박한붕어빵!전국유일 김치붕어빵.효창공원역 효공잉어빵.#붕어빵 #붕어빵맛집 #김치붕어빵 #맛집 #30초먹거리 #kfood #koreanfood #seoul,2025-12-01T09:15:04Z,6754,32.0,17.0
효창동,4y9t48K65Lk,효창공원역 조금 더 쉽고 빠르게!,2025-04-18T11:35:05Z,6217,8.0,1.0
효창동,yApISKfi4sY,"이 동네..너무너무나도 좋다? 맛집,술집,빈티지가구,쇼핑,산책까지..🌱",2025-06-29T08:56:13Z,6118,135.0,23.0
효창동,qSQ1La28aSc,엎어지면 코 닿는 곳에 줄서는 맛집,2025-01-30T06:20:09Z,5984,59.0,2.0
효창동,t44XRbZURi0,흑백요리사팀도 회식하고 간 용산 60년 노포 해장국집 | 효창공원 용문해장국,2025-09-10T10:40:36Z,5101,18.0,2.0
효창동,4iWUGHoOQYs,서울기사식당 일신기사식당의 근황은? #효창공원맛집 #서울맛집,2025-01-16T00:47:04Z,4965,29.0,0.0
효창동,Cy3GfxvpFg4,용산구 분위기맛집 무조건저장✨,2024-06-06T11:23:33Z,4794,35.0,0.0
효창동,BzlY6vbgKFE,"혼자 서울 용산 𝚟𝚕𝚘𝚐 .*  배움과 옛 감성이 담긴 효창공원 🌟 공원카페 무화과, 말차맛집🍵 ・ y2k감성 카페🎧 ・ 초밥에 와인 혼술 한 잔🍷",2025-08-31T11:05:54Z,4622,75.0,18.0
효창동,Uu3b-0HTARU,"가성비 만족 디너코스 💓 기념일 식사 | 일식 다이닝, 페어링, 서울 스테이크 맛집",2023-12-04T15:45:41Z,4582,11.0,4.0
효창동,gZCKWuPFvNQ,저녁만 되면 지하에 줄을 서는 맛집,2025-01-31T03:46:41Z,4342,31.0,2.0
효창동,BvJIzx2jOuM,효창공원 핫플을 아시나요,2024-02-17T13:00:11Z,3771,19.0,3.0
효창동,gEw-EdGUaLM,용산 기사식당 맛집 5곳 | 용산 기사식당 거리 맛집 투어,2025-06-12T10:01:48Z,3717,42.0,5.0
효창동,w1cpGsTvQE4,40대독거녀 식객허영만의 백반기행에도 나온 효창공원역 숨은찐맛집 아성빈대떡에서 목포홍어&매생이전에 주전자막걸리2통 때렸습니다~^^| Makgeolli |mukbang |,2024-11-16T02:16:06Z,3627,147.0,52.0
효창동,8EFEhR_jpug,효창공원 빵집 맛집🤍 #shorts,2024-10-28T23:43:58Z,3500,15.0,2.0
효창동,Dp-C0HJcVbY,서울 용산 효창공원 근처 신성각 간짜장 👍 #seoultravel #koreatravel #seoulfood,2025-04-07T04:04:29Z,3302,12.0,0.0
효창동,8qC-WHDpTvw,"5,000원 잔치국수 먹으러 갑니다 | 엄마가 해주신 그 맛이더라고요😭 | #국수 #가성비맛집 #용산구 #koreannoodles #잔치국수",2023-11-16T01:00:04Z,3214,45.0,5.0
효창동,P_0yGkxY3Yk,달인 맛집80 서울맛집 #용산구맛집 #효창동맛집 #우동맛집  #맛집 #달인 #생활의달인  #추천  #koreanfood  #food #짜장면,2024-08-02T02:00:12Z,3115,12.0,1.0
효창동,2POoDfG4iJk,여긴 바인가 레스토랑인가~? 효창공원 랜드마크 #공덕맛집 #효창공원맛집 #공덕역맛집 #효창공원데이트 #갤러스,2025-07-15T13:32:12Z,3000,17.0,1.0
효창동,dGia5x8v-C4,효창공원 콜키지 프리 가성비 좋은 고깃집,2024-07-16T01:00:17Z,2918,16.0,5.0
효창동,GHbaIb52Jpw,효창공원 숨겨진 느좋 카페 두군데가는 브이로그 #브이로그 #카페 #데일리룩,2025-08-13T15:39:11Z,2903,20.0,0.0
효창동,RhowdZ-cO8Q,"유정수, 7년 내내 제자리걸음 버뮤다 삼각지대 효창공원 상권 #손대면핫플동네멋집 #SBSenter",2023-10-10T14:09:08Z,2768,4.0,1.0
효창동,CS36H3CcrHA,"마감이 끝난 후 시작한 새로운 취미🪡 | 일러스트레이터 브이로그, 프랑스 자수 배우기, 효창공원 맛집, 국립중앙박물관 전시",2025-04-20T01:40:21Z,2653,27.0,6.0
효창동,6xALLFLeV44,일신기사식당 #쇼츠 #맛집 #내돈내산 #효창공원,2024-08-06T03:22:32Z,2537,11.0,6.0
효창동,BNDOQBDqrPA,""" 한국 야장에서 먹는 초대형 뼈찜! 이건 미쳤다! 🍖🔥"" #shots",2024-06-20T16:15:47Z,2461,14.0,2.0
효창동,n0koR6-WCZw,서울 기사님들이 줄서서 먹는 3대 해장국 second : 효창공원 창성옥,2023-03-23T00:40:59Z,2451,31.0,6.0
효창동,QCO_Tq2z580,📣새로 발굴한! 나만 알고싶은! 용산 찐맛집 공개🫢 ((유명해져 아니 유명해지지마)),2023-03-07T12:40:33Z,2449,16.0,4.0
효창동,YL694dqFaXg,또먹TV_ 쯔양도 와볼만한 식당! 효창공원 일신식당,2025-06-26T01:00:29Z,2397,36.0,4.0
효창동,qPDQLoVW9dE,공원 안에 이런 카페가? 3천 원 커피 맛집!  #커피 #cafe #카페추천 #용산카페 #효창공원 #서울카페 #반려견동반카페,2025-07-02T22:30:14Z,2379,13.0,0.0
효창동,LsdmjzI4c9A,흑백요리사 회식장소?! 술 이븐하게 마셔보자구🍻 #용문해장국 #백수저회식장소 #효창공원역맛집,2024-10-24T07:30:14Z,2236,30.0,18.0
효창동,ERtmdVM5n-8,맛집 - 이조 순대국(효창공원앞역 3번 출구) #성시경 먹을텐데 #웨이팅 #매주 일요일 휴무 #shorts #쇼츠,2023-05-07T11:55:57Z,2235,21.0,0.0
효창동,IaJpkZxIkiM,[효창공원역] 가성비 맛집 '돈가스산골녹차냉면' 이게 모두 2만원 #가성비 #효창공원 #쯔앙 #혐찬,2025-12-28T05:02:31Z,2188,0.0,0.0
효창동,YiBl4iYOtmE,(효창공원 맛집) 효창공원 산책 후 가면 좋은 테라스 브런치 #용산맛집,2025-05-18T05:31:44Z,2124,9.0,1.0
효창동,uRydtkd-qGQ,효창공원 일신기사식당보글보글 돼지 불백,2025-09-16T03:20:36Z,2031,14.0,2.0
효창동,xjXu1e8NHCE,용산 빵맛집 효창공원역 베이커리무이#bakery #bread #food #shorts,2024-08-21T08:00:38Z,1950,12.0,1.0
효창동,G6tq04IlwDU,"#협찬 효창공원역, 용문시장 입구에 위치한 이모네포차리 방문!친절한 이모님의 정과, 든든한 안주가 가득한 실내포차에서 소주 한 잔, 감칠맛 나는 찌개로 진정한 밤을 보냈어요.",2025-09-16T20:46:38Z,1944,3.0,0.0
효창동,yNYrlmuHpVk,효창공원역 맛집 쭈꾸미 [찌갠쭈꾸미 용산용문시장점] 🐙 쭈꾸미와 새우7미로 즐긴 매콤한 한 끼!,2025-12-31T07:08:33Z,1879,1.0,0.0
효창동,LPP5jn41dmU,Vlog. 마타사 | 콘하스 | 우스블랑 | mtl 효창 카페투어 | 남영역 이자카야 유가소점 고등어봉초밥 크림고르케 | 숙대입구 이자카야 탄막|효창공원에서 붕어빵을 먹고왔어야했다,2024-11-28T07:30:20Z,1868,16.0,0.0
효창동,Whp9081kQas,"서울 용산구, since1948 [창성옥] #용산구맛집 #효창공원앞역맛집 #해장국맛집 #용산구노포 #효창공원앞역노포 #해장국노포  #용산구해장국 #효창공원앞역해장국 #용문시장맛집",2025-01-31T06:05:54Z,1842,2.0,3.0
효창동,kzVQw0QhFWI,"스물다섯번째 샌드위치로그 | 효창공원 우스블랑, 석촌 쥬뗑뷔뜨, 한양대 틴토, 시흥 롱브레드",2023-01-22T12:14:29Z,1790,19.0,10.0
효창동,g65zGpmbA9s,효창공원 내려오는 길에 한 컷 ㅎ#난가? 병 걸린 정치인들 ㅎㅎ,2025-06-03T10:47:18Z,1751,2.0,1.0
효창동,GR5Q_Lf1Jz4,나의 작은 단골집🐟 #용산 #맛집 #shorts,2023-05-10T02:33:00Z,1724,5.0,3.0
효창동,t8lrgrBXouU,효창공원 어디길래.. 안선영 대박났다,2025-02-25T08:45:04Z,1684,9.0,0.0
효창동,qF5EHdoa2Rg,효창공원앞 용문해장국 뼈찜 맛집. 매운맛은 바로 땀이 쫙 나니. 맵찔이는 덜맵게 해 달라고 해야함. #용문해장국 #맛집,2024-12-06T23:55:57Z,1645,4.0,0.0
효창동,5KawlnvAN_c,#숙대#효창공원역#우스블랑#빵맛집,2023-04-15T14:11:42Z,1584,5.0,0.0
효창동,EVuB69K0gUE,용산에서 혼자 놀기 #일상기록 #브이로그 #혼자놀기 #효창공원 #서울여행 #카페투어 #vlog  #디저트카페 #용산,2025-01-29T09:09:59Z,1579,12.0,0.0
효창동,xxUUg0Rzitg,[VLOG 70] 오프라인러브ㅣ효창공원혼놀코스ㅣ코쿤ㅣ키하라☕️ㅣ부암동데이트코스ㅣ만두맛집📍천진포차ㅣ석파정ㅣYad espㅣ드래곤디퓨전 산타크로체 라지,2025-05-26T11:04:48Z,1555,18.0,3.0
효창동,vi9vhZOQ7xU,효창공원 브런치카페 코쿤 마타사 효창 감성숙소 에어비앤비 슬리피선데이 후기｜반려견 동반,2025-11-22T15:57:39Z,1508,26.0,21.0
효창동,gmBmDbxS7eI,용산 카페 #효창공원 #용문동카페 #용문동,2025-10-30T01:00:51Z,1492,10.0,0.0
효창동,vqWjdPjGgNM,효창동 어디까지 가봤니? 공원·운동장·맛집 추천,2025-08-18T06:21:04Z,1441,12.0,1.0
효창동,To86YkPZCnA,늦게가면 빵없음♡우스블랑♡커피도최고네#효창공원 #숙대#빵맛집#카페추천#shorts,2025-03-09T05:36:25Z,1355,20.0,3.0
효창동,4u9W056NtW8,"공덕 찐맛집, 효창공원 맛집 코스, 자라x앤드원더, 유니클로xJW앤더슨, 첫 무대인사 후기, 일상 브이로그",2025-02-07T10:23:52Z,1310,11.0,9.0
효창동,EKgwS7Lz7JU,맛집 불모지 효창공원앞역에서 찾은 보석같은 집 ..,2023-05-09T15:11:18Z,1308,13.0,2.0
효창동,_IMgOOspByY,용산 효창공원역앞 신혼부부 전세 #shots,2023-02-28T05:25:24Z,1281,11.0,1.0
효창동,xJoN5pJOYiA,"VLOG. 🫒 효창공원 걸어봤어, 마타샤 이탈리안 카페 / 청담동 생면 파스타와 스모크 올리브 페코리노 / 양재천 퀸즈베리 도넛 / 티하우스 청담",2025-05-06T12:40:05Z,1166,20.0,6.0
효창동,Wq0udv7JD-c,#K-FOOD-일신기사식당  효창공원 옆 돼지불백,2025-10-29T08:10:43Z,1103,9.0,1.0
효창동,TbyJT-MLU_0,보쌈하면 맛있는 김치랑 조화가 중요해요. #맛집리뷰 #Koreafood,2025-10-28T03:27:51Z,1085,2.0,3.0
효창동,6179uTGzrXQ,용산빵지순례 블루리본 카페 ‘베이커리무이’ #빵지순례 #용산카페 #용산맛집 #용산데이트 #남영역 #효창공원역 #서울빵지순례 #데이트코스 #카페투어,2025-03-18T06:27:29Z,1078,5.0,0.0
효창동,XqWgss_Rge8,용산 ‘뉴 이베리아’ #용산맛집 #용산역맛집 #효창공원맛집 #뉴이베리아 #용산디저트맛집 #서울디저트맛집 #서울맛집 #맛집투어,2024-11-07T09:56:23Z,1069,6.0,0.0
효창동,52yjZld_tFc,공기좋은효창공원^^#남대문미쓰코리아 #효창공원#공원산책,2025-05-04T03:41:20Z,1051,4.0,0.0
효창동,-D-RWsm9yIA,"서울 전 맛집,식객 허영만의 백반기행에 나온 효창공원역 술집!(ft.아성빈대떡)",2023-08-10T09:58:23Z,1017,3.0,0.0
효창동,I0mf23dCrXE,효창공원 들려보세요^^#남대문미쓰코리아 #효창공원 #다이소,2025-08-24T02:29:15Z,1015,6.0,1.0
효창동,DBThvThaBag,요즘 감성 효창공원 카페 여기로🔥,2025-06-17T10:20:41Z,1004,3.0,1.0
효창동,GZse0P-5lds,닭갈비 # 열정도#효창공원 # 세번째 # 사리 추가# 라면 # 콩나물국 # 추운날씨에 사람 더 많음,2023-04-08T09:47:46Z,990,10.0,0.0
효창동,ZDQ7X8gswng,"눅 NOOK :: 용산 효창공원 맛집 막걸리, 전맛집 분위기좋은 술집 데이트장소",2023-09-01T02:02:23Z,979,3.0,0.0
효창동,e4OJki2tB1Q,효창공원 여유 즐기기 좋은 브런치 카페🐦️ 코쿤 #핫플 #cafe #데이트코스 #coffee #카페 #맛집 #분위기좋은카페 #여행 #효창공원 #cafevlog #핫플레이스,2024-07-28T02:42:05Z,973,2.0,1.0
효창동,JDZpBVT-8so,#용문해장국 #용산맛집 #해장국맛집#효창공원맛집 #용문시장맛집 #용문시장#서울3대해장국,2023-11-19T01:00:24Z,968,0.0,0.0
효창동,01gJuLJVbGg,풀코스?? 고기 맛집 Since1970 용산 50년 노포 / 효창공원/삼각지 맛집/ 용산 용문갈비,2023-07-03T21:00:00Z,967,11.0,2.0
효창동,f3gYTRvkxxw,효창공원 파스타 맛집 ‘에케’ #효창공원 #효창공원맛집 #koreanfood #korea #용산맛집 #용산파스타 #용산점심 #용산데이트 #용산와인바 #효창공원점심 #용산와인,2024-07-29T11:50:43Z,955,10.0,0.0
효창동,mIrTZHIyLYI,참 재미있었지 #칵테일 #맛집 #효창공원 #용산,2025-07-04T13:01:41Z,938,8.0,2.0
효창동,zAAaTNEaZ7A,"뉴 이베리아, 루이지애나 도넛 “베녜” 맛집. #cafe #seoulcafe #카페 #카페추천 #카페스타그램 #다비로그 #다비효창 #효창공원카페 #효창카페 #뉴이베리아 #베녜",2025-03-12T10:32:39Z,933,13.0,0.0
효창동,ob_ow0KpDEo,"효창공원 맛집 추천,서울 3대 감자탕 맛집으로 유명한 김가네 감자탕!",2023-06-08T14:43:17Z,918,3.0,0.0
효창동,ABKmQh8GoHw,"[갈매기살 100g 3,400원!] 가성비 터지는 효창공원역 뚱단지 #고기집 #가성비 #맛집 #고기 #용산  #shorts #용산맛집 #공덕맛집 #서울맛집 #노포 #bbq #갈비",2025-01-26T11:37:52Z,907,6.0,1.0
효창동,aH6bc4Mzw4g,"해장의 끝판왕, 역전우동! #역전우동 #가성비맛집 #우동맛집 #혼밥맛집 #용문시장맛집. #효창공원역맛집. #용산구맛집",2025-05-30T10:59:14Z,895,2.0,0.0
효창동,Rv6PIXn27yg,효창공원역 양자강 쟁반짜장,2023-08-13T12:44:09Z,872,13.0,1.0
