district,id,title,publishedAt,viewCount,likeCount,commentCount
삼성1동,fIT9Cmwgsf4,"맛집 없다는 코엑스에서 찐맛집 찾았습니다 (BTS 정국, 정우성, 전지현, 수지 맛집..?) | 또간집 EP.24",2023-03-17T09:28:09Z,4327406,38459,1327
삼성1동,4d5ijPuj_Qs,내 홈타운인 코엑스에서 혼자놀기 #shorts,2023-09-23T13:21:34Z,585413,,34
삼성1동,0KspjRoFank,코엑스 맛집부터 가성비 호텔까지 완벽정리해드립니다 - 신라스테이 삼성,2023-01-27T12:04:24Z,136069,1361,102
삼성1동,hThobapQg9k,📍코엑스 데이트코스 추천📍,2024-09-21T06:00:20Z,154588,2475,8
삼성1동,q0l9e5sBUdU,코엑스 원주민 추천 최고의 맛집,2023-11-12T14:16:24Z,126744,1638,58
삼성1동,L6dsLyUQ3FI,삼성동 직장인이 먹어본 코엑스 맛집 솔직 후기...,2025-05-09T11:30:28Z,89415,897,65
삼성1동,zt1KNCu2GdI,"직장인 평균 점심값 1위, 서울 삼성역 BEST 10",2025-07-03T11:14:42Z,80444,1133,140
삼성1동,ycb5MiIOcb4,코엑스몰 맛집추천 BEST5 /서울강남맛집추천/,2023-07-16T12:53:59Z,85962,279,1
삼성1동,RuOzqlXrUiQ,스타필드 코엑스몰점 하루 정복｜스잘알 가이드｜#shorts,2023-07-19T09:00:25Z,58406,582,0
삼성1동,0GYnguNWh7Y,요즘 뜨는 코엑스 top4  #쇼츠모음 #여행 #코엑스,2024-09-19T07:59:08Z,80316,294,16
삼성1동,UGNO3tRZrpU,코엑스 내돈내산 찐맛집 BEST3.,2023-02-01T08:00:24Z,43465,199,13
삼성1동,MAzU_Ps2QN8,코엑스 맛집을 찾으신다면 .....🤍,2024-11-23T03:07:47Z,47763,725,39
삼성1동,qjKD_Ol6Y5E,😋마곡에서 여기 안가보면 손해! 최신 맛집 Top5 #마곡맛집 #마곡나루맛집 #마곡빵집 #마곡술집 #마곡 #맛집 #서울맛집 #맛집추천 #강서구맛집 #서울핫플 #돈까스,2025-09-12T14:53:28Z,54427,989,37
삼성1동,2-rq0xUhTik,코엑스 뭘 먹어야 할지 모르겠다면?,2023-04-04T03:00:01Z,32002,284,1
삼성1동,3ZwCLdxCnh4,실패 없는 저녁을 위한 맛집 가이드🔎ㅣ스필가이드 #스타필드 코엑스몰,2024-10-31T02:51:03Z,37035,419,0
삼성1동,SAKs3mAJ7Qw,코엑스 맛집 TOP20,2023-08-04T09:00:17Z,19581,51,0
삼성1동,hcl-awajNG8,삼성역 코엑스 맛집?,2025-03-30T05:42:34Z,26712,86,5
삼성1동,w6UBRn1RML8,아저씨들이 줄 서서 먹는 강남 횟집? #맛집 #강남맛집 #코엑스 #코엑스맛집 #shorts,2024-02-29T12:38:20Z,13621,58,5
삼성1동,5_DyKZYAvF8,코엑스 맛집 TOP10,2024-12-25T03:00:04Z,19529,52,2
삼성1동,GzpsIJTZU0k,베라가 무려 100가지가 있다는 이곳‼️#shorts #vlog #foodvlog #summer #icecream #베라 #코엑스 #맛집 #ブイログ,2025-06-17T12:57:03Z,18928,158,0
삼성1동,dajPplmjPbU,코엑스에 등장한 만원의 기적 ㄷㄷ,2025-04-02T08:00:38Z,21688,148,17
삼성1동,W3PPSy21SeU,머리채 잡을 뻔 인생 끼리끼리다🐒 #개그 #유머 #이화원 #코엑스맛집  #커플 #koreandrama #comedy #치타히뽀 #최치타 #찐친,2025-08-27T11:01:02Z,16189,,4
삼성1동,Md3NTJI_6xw,퀄리티 미친 호텔 뷔페요? 🥰 #호텔뷔페 #뷔페추천 #맛집추천 #호텔뷔페추천 #뷔페 #코엑스 #코엑스맛집 #인터컨티넨탈,2024-07-05T08:00:19Z,6953,67,0
삼성1동,FafjPbKA60g,코엑스 맛집 줄서먹는 철판요리의 정체,2025-03-17T02:09:59Z,12648,102,10
삼성1동,ws-JRgAH5hA,"4,500원 초대형 대하초밥 스시츠카무 #초밥맛집 #코엑스맛집",2025-04-23T13:10:33Z,12666,29,5
삼성1동,QE1iYNvlOOM,코엑스 맛집 BEST9,2023-04-21T03:13:48Z,5966,35,0
삼성1동,jDDe1Ff6YRg,코엑스 맛집 TOP5,2023-08-04T03:00:23Z,6576,34,1
삼성1동,W12hu-okDcU,겨울철 방문하기 좋은 스타필드 코엑스몰 디저트&카페 베스트12#스타필드코엑스별마당도서관#코엑스카페#코엑스맛집,2024-12-23T23:00:26Z,5402,46,9
삼성1동,VP2qFK6ry_M,[vlog] 먹어 보고 추천 하는 코엑스 찐 맛집ㅣ파르나스몰 핫플 중동요리 전문점 허머스키친 🍳 카이막 빙수 르푸도레 🍧 삼성동 맛집,2024-09-06T09:28:00Z,5154,,3
삼성1동,AP9tLxpQVyY,슈퍼두퍼 또 갔습니다 #슈퍼두퍼 #슈퍼두퍼버거 #코엑스맛집 #코엑스몰 #코엑스스타필드 #스타필드맛집 #햄버거 #햄버거맛집 #샌프란시스코 #샌프란,2023-06-13T13:01:49Z,5175,33,2
삼성1동,nk8dByNUfT8,또간집 1위 코엑스 맛집 | 한식 모임 추천 | 광평 평양냉면갈비 | coex korea restaurant | 김인복의 광평,2023-03-27T11:00:28Z,4969,30,3
삼성1동,Utn3DdZ4IRo,멋진 인테리어에 다양한 동남아 음식을 맛볼 수 있는 코엑스 맛집 추천! [파파야리프 코엑스점],2024-03-08T02:04:23Z,4930,6,0
삼성1동,GOAQX5Hor68,코엑스 가성비 좋은 인테리어도 좋은 맛집 #코엑스 #맛집 #허머스키친 #삼성역,2024-02-13T12:32:25Z,4964,19,0
삼성1동,zAuN4nDgI9I,❣️광화문석갈비 코엑스점❣️#갈비맛집 #광화문석갈비 #갈비맛집 #갈비 #한정식 #한식 #코엑스 #코엑스갈비 #코엑스맛집 #코엑스한식 #코엑스몰맛집 #코엑스한정식 #코엑스한식,2025-03-03T06:14:24Z,5094,34,3
삼성1동,oyYaa1N70uM,동네주민이 직접 뽑은 코엑스 주변 인기 맛집 Best 6 - 5초광고로 한 번에 확인하기 #코엑스 #맛집추천 #5초광고 #shorts #숏폼광고,2023-12-04T08:34:30Z,8588,67,1
삼성1동,FDz1DN2SdZs,"아는 사람만 안다는 7,500원 호텔 런치 | 몰랐지?코엑스몰 |",2025-04-25T02:42:39Z,4645,28,0
삼성1동,GYcM2bxXp-g,#호신각 #삼성역맛집 #코엑스몰 #코엑스맛집 #강남맛집 #중식당 #짜장면 #짬뽕 #탕수육,2025-08-18T02:59:31Z,8010,12,0
삼성1동,fpsrwMxs5wM,코엑스 맛집 TOP50,2024-12-25T09:00:43Z,3886,12,0
