district,id,title,publishedAt,viewCount,likeCount,commentCount
상암동,JSgxoR0y21Y,#연예인맛집 별거 없네.. #타코,2024-05-28T10:06:14Z,4198570,46500,235
상암동,w-99a_dPVvQ,돈있어도 못먹는 1시간이면 다팔리는 맛집,2024-08-08T11:41:32Z,2681442,14648,762
상암동,mp6spPgo3Vc,일산 오면 무조건 ‘여기’ 들리세요. 역대급 죽음의 조였던 일산 1등 맛집의 정체는? | 또간집 EP.66,2024-11-29T09:28:06Z,1908183,17136,3179
상암동,iItQ6-XAQuw,요즘 스타필드보다 핫하다는 고양시 맛집,2025-05-16T11:26:26Z,2360820,7615,242
상암동,NlBVPh737Qk,"올 한해 다녀온 식당 중 1위, 모수보다 만족감이 높은 파인다이닝  #Shorts #맛집",2025-10-13T08:32:29Z,1464128,30434,369
상암동,xZUaA5mmRl0,12000원에 이게 다 무제한이라고?😳,2024-07-25T03:20:58Z,1274697,5167,200
상암동,vJT_Hs4VHMI,안 보시면 손해가 맞습니다.,2025-04-04T09:01:17Z,711639,15846,456
상암동,mrwV0w4t5P4,100만뷰 서울맛집) 서울 순대국 맛집 TOP5,2025-05-16T22:05:13Z,1341887,,318
상암동,m-baQ6pv2MY,90년 중식 외길👩‍🍳 3대가 이어온 연희동 중국집[ENG],2025-10-17T08:30:25Z,465541,5318,501
상암동,TQvPrKdoz3A,이런 라면은 저도 처음입니다,2025-10-27T09:32:33Z,660740,5985,83
상암동,jnzq9DBDc_A,서울에서 모르면 손해입니다,2025-07-31T12:01:28Z,274318,5814,262
상암동,0xgzAgW5lIU,긴 말 하지 않겠습니다. 국내 1황 맞습니다. #shorts #맛집 @라멘괴인웅성,2025-11-02T08:36:37Z,412865,6840,117
상암동,8PnVxFq_KSU,마포구 맛집추천! 5개이상가봤다면 쩝쩝박사 ㅇㅈ,2024-05-14T10:18:54Z,256486,8523,35
상암동,2pTrzr7-eeI,축구 보러 갔다가 상암에서 노는법⚽️,2025-10-13T09:52:56Z,262374,3604,65
상암동,gF_R86nGCMg,1시간을 기다려도 먹을 가치가 있는 미친 찐맛집,2025-11-10T12:00:36Z,96876,1737,128
상암동,g0IfLFT6tLE,"올해 파인다이닝 1등, 예약성공률 0.0001% [S학점 🍝 상암 일 베키오]",2025-10-05T02:19:45Z,70845,1623,50
상암동,cLPSp_v6xek,[전현무계획2 | 채널S] 김태호PD가 추천하는 상암동 맛집! | 16화,2025-02-07T14:30:16Z,35516,280,13
상암동,ap0BNLu1N8o,저는 아무것도 안했다니까요 #상암맛집 #상암파스타 #달리181상암점,2024-10-20T10:39:50Z,38435,877,10
상암동,6S_UOnIcR7A,성시경 먹텐 서울 맛집 순위 Top 5,2025-10-11T04:07:12Z,30170,178,6
상암동,Ia-00jzAsUw,인프피 사장의 고충 #상암맛집 #달리181상암점 #서울맛집,2025-03-07T09:47:46Z,19000,341,21
상암동,sFdCQh5KduY,#서울 #서울맛집 #food #백반맛집 #상암동 #상암동맛집 #밥 #B.O.B #만원의행복 #,2024-07-18T12:26:31Z,14093,77,10
상암동,17EvZ4TvDSU,재료까지 푸짐하게 넣어주는 #만평우동,2024-09-20T09:11:12Z,10921,94,3
상암동,LFh_sckf7do,퇴사하고 반지하 고깃집에서 7년간 고생만 하다 대박 터진 이유 [상암맛집/아고야],2023-10-13T10:17:22Z,10884,,17
상암동,HpbX7xmU804,이 분 유튜버였는데..?! #손새벽 #상암동 #상암동맛집 #달리181 #파스타맛집,2025-03-17T10:13:29Z,11625,92,5
상암동,hzEX7930g4k,인프피 사장의 호객행위 #서울맛집 #달리181상암점 #상암맛집,2025-03-08T08:26:08Z,14631,175,5
상암동,V2MFskVCAGo,"여기는 진짜 유명한 방송국 맛집임. 😋🍽️ | 상암 DMC 꼬닭 묵은지 닭볶음탕, 꼬막, 도토리묵 먹방",2024-09-19T08:00:20Z,9462,567,62
상암동,PKqDLZVJitU,[상암맛집] 매일 낮2시에 오픈 한다는 맛집이 있다길래 다녀 왔습니다!!              #두시만세 #자체발광초대석 #박준형 #박영진 #MBC표준FM #맹구 #보이는라디오,2024-06-20T04:13:00Z,9925,55,19
상암동,nW9DGxs52RM,"나영석PD님이 인정한 상암맛집 ""너구리칼국수""",2024-05-21T13:45:35Z,9192,128,10
상암동,dDWeHWCFVeo,k리그 전구단투어 맛집탐방 서울편 - 상암푸드트럭,2025-03-05T15:28:41Z,10191,26,3
상암동,cNZG_Msqu8o,"샤브로21 상암점🥬6,800원 가성비, 상암샤브샤브, 1인샤브샤브, 상암맛집",2023-07-29T11:43:53Z,10859,89,0
상암동,RacJuc066Lg,"여의도vs목동vs상암, 방송국 3사 찐맛집 대결🔥(전통수제비, 냉이된장찌개, 나폴리피자) #전현무계획2 | MBN 20250207 방송",2025-02-08T02:00:17Z,8420,51,4
상암동,0shkS5TEhp8,2대째 전수받은 비법 육개장으로 만든 육칼 #상암동맛집 #청하칼국수 #칼국수,2024-04-03T13:36:13Z,8408,30,0
상암동,sv8OVzvBwew,#shorts  #쫀디기 #상암쫀디기 #상암카페 #상암맛집 #직장인점심 #k직장인,2023-12-22T02:57:23Z,7680,66,0
상암동,aTDFFBrolzg,물떡과 키리모찌의 대결 상암동 뎅뎅바 #shorts #맛집추천 #맛집탐방 #애견동반식당 #오뎅바 #마포맛집,2024-04-04T06:52:35Z,7518,38,0
상암동,SJ4RTMuhoOo,상암동 맛집 TOP20,2024-06-07T09:00:31Z,7360,15,1
상암동,87xv4P0_QbI,#명인등심 #상암맛집#오픈이 엊그제 같은데..4개월이 넘어가네요.💕💕💕💕,2024-04-11T23:49:43Z,6571,63,1
상암동,hNpb68RZHY4,마라보다 더 깊은 맛! 상암동 똠양꿍 국물 맛집,2025-03-18T01:08:36Z,6203,8,0
상암동,Zk696RKs2XM,부산에서 즐겼던 낙곱새를 똑같이 서울에서 '개미집' 상암점 #shorts,2024-02-03T02:00:16Z,6362,35,0
상암동,F7pnq1LbQ7A,#상암동맛집 미식클럽 #순대국맛집 #다가이 서비스 순대 수육 아침식사 가능 프로국밥러,2024-06-30T13:44:00Z,5694,24,0
상암동,Z6_Uz9ontQA,빡빡이 사장의 레이져제모 후기 #달리181상암점 #상암맛집 #제모,2025-03-06T10:12:23Z,9714,151,7
상암동,JzUR79sg3ek,23경기 무패! 7년 맛집 상암에서 3:2 승리! 서울한테는 안진다니까~!  / 원정맛집 상암에 가다 / 전병관 원더 골 직관 / 전북현대 브이로그/ 직관브이로그/ 전북현대,2024-04-20T16:19:04Z,4515,181,67
