district,id,title,publishedAt,viewCount,likeCount,commentCount
효창동,vThMM_rpcuU,성시경 먹을텐데 서울 맛집 TOP 12 - 실제 다녀온 사람들의 후기가 가장 좋았던 연예인 성시경 맛집 입니다,2024-07-22T07:35:35Z,515060,3038,72
효창동,ZUXxgc0hQQE,"요즘 뜨는 효창동 그냥 걸었어! 효창동 핫플 카페, 서울 3대 붕어빵",2025-01-08T11:00:43Z,287865,5338,363
효창동,tukUR27bgxk,숙대생들도 좋아하는 기사식당 맛집?!,2024-04-05T11:07:02Z,285208,5029,413
효창동,f8YEum7O-z0,"용산 유명한 맛집, 볼거리 우리도 알자고요,,｜서울여행 서울데이트 용산맛집",2024-12-22T16:48:03Z,180527,3068,103
효창동,ueow0lq5GKs,힙함과 허름함이 공존하는 용산의 맛집들. 10시간 동안 6차까지,2023-09-20T11:00:50Z,107108,1566,147
효창동,Kv1ChxTGXAo,효창공원앞 용문해장국,2025-11-09T03:30:17Z,164195,1804,378
효창동,UytKpQPMqIE,뻥 치지마!!!!#국밥맛집 #안주맛집 #수육맛집 #용산맛집,2025-01-13T23:38:05Z,100222,517,22
효창동,eefqSRoaWGU,용산 맛집 베스트9 한방에 몰아보기! [맛있겠다 Yummy],2024-02-15T14:08:32Z,90854,871,25
효창동,zLLqpuvXtlo,88세할머님이 운영하는 라면전문점,2024-08-01T10:15:46Z,93279,1625,28
효창동,A-rNTMCydFc,실패하지 않는 용산구 커피 맛집 Top 4,2025-06-25T06:00:17Z,79775,1561,32
효창동,wnHfR0wQOkw,"효창동 나들이 ! 브런치, 낫토 맛집, 퀸아망, 떡갈비 한 상",2025-05-04T02:00:52Z,37090,594,45
효창동,nKfgee7kqi8,"- 평일࣪ ˖ 연차࣪ ˖ 쉬는 날 어디가지? 한적한 휴일을 즐기기 좋은 코스 4곳 모음𖠚ᐝ 1) 효창공원, 2) 부암동, +ᴈ) 행궁동, 4) 서촌, 5) 홍대",2025-05-04T16:03:28Z,30937,721,13
효창동,2gU4Hm8fTO0,"가을 느좋 데이트 코스🥨 이번주 같이 효창공원 걸어볼래🥰? ㅣ코쿤, 삼정카페, 마타샤효창",2025-09-26T09:00:08Z,18616,458,31
효창동,BzXlKzj6nw4,효창공원 근처 작은 핀란드. 북유럽 감성 카페 미쳤네요 ☕️,2025-05-16T10:00:20Z,17784,274,19
효창동,271lq05B-KY,"매번 삼각지, 신용산만 가는 당신에게...안 가면 후회할 👉효창동 빵 맛집 5대장👈 알려드림🥐",2025-10-19T11:00:11Z,16765,329,32
효창동,VlvLsg-BJvU,효공잉어빵 / 3대붕어빵 (2),2024-11-23T04:25:11Z,18338,185,19
효창동,RQjBc_6aLhU,붕어팥을 찾으시나요? 서울 3대 붕어빵 맛집‼️,2025-12-06T01:30:21Z,33368,230,27
효창동,y4aLcoDqv-4,뉴올리언스 출신 사장님의 미국 갬성 가득 베녜맛집!!,2024-08-10T03:00:44Z,14943,157,1
효창동,dnKrsvKKmT8,국내산 돼지만 쓰는 근본있는 집 서울 보쌈 맛집 여기로 종결 하실게요,2025-05-21T08:00:46Z,11402,124,18
효창동,o9kMhW9hpA0,"[용산 용문시장 맛집] 여기만 가보면 됩니다 (원효스시, 용문통닭, 부산어묵, 두손, 청년국수)",2023-08-07T13:29:02Z,10704,,5
효창동,XsC9sMHfHcE,생소한 냉면에 돈가스 조합 근데 맛있네요? #쯔양,2025-04-05T01:57:19Z,17801,59,2
효창동,7RfWxFFmK9Q,[서울] 효창공원역 인근 녹차물냉면 맛집 '산골녹차냉면' 본점,2024-01-20T01:16:41Z,10666,44,3
효창동,7rmHrM8LtVM,"누나랑 빵투어 (대흥, 효창공원편) Ep.03 서울에서 찾은 미친 크로와상 🥐🥐",2025-06-27T10:00:13Z,9342,148,27
효창동,ES0FZ32DsPE,서울에서 이렇게 구워주는 곳 흔치 않습니다,2025-01-31T23:30:04Z,9110,67,5
효창동,dHr2FB8AyNg,택시기사님들이 인정한 서울 해장국 맛집 : 효창공원 한성옥해장국,2023-01-30T02:00:10Z,8666,58,10
효창동,SNqTllDdJnI,아마 처음보는 유형일겁니다.,2025-12-28T07:50:00Z,14776,94,8
효창동,149LPjg57Yk,양념게장에 싸먹는 삼겹살집,2025-09-04T23:21:00Z,14219,131,6
효창동,ZRhhTVmPYGc,찰찰보리 효창공원점 #맛집 #shorts,2024-11-10T14:11:01Z,8055,30,10
효창동,yApISKfi4sY,"이 동네..너무너무나도 좋다? 맛집,술집,빈티지가구,쇼핑,산책까지..🌱",2025-06-29T08:56:13Z,6068,135,23
효창동,qSQ1La28aSc,엎어지면 코 닿는 곳에 줄서는 맛집,2025-01-30T06:20:09Z,5983,59,2
효창동,UR1qzCH8npc,"[서울복층아파트] 1호선,경의선 용산역 + 6호선 효창공원앞역 인근 22평 3룸 복층! 막힘없는 거실+풀옵션 가전+1.6M 층고 / 전망좋은 용산구신축오피스텔 [이음주택2760]",2024-08-30T14:00:33Z,4857,43,11
효창동,Cy3GfxvpFg4,용산구 분위기맛집 무조건저장✨,2024-06-06T11:23:33Z,4792,35,0
효창동,Uu3b-0HTARU,"가성비 만족 디너코스 💓 기념일 식사 | 일식 다이닝, 페어링, 서울 스테이크 맛집",2023-12-04T15:45:41Z,4570,11,4
효창동,BzlY6vbgKFE,"혼자 서울 용산 𝚟𝚕𝚘𝚐 .*  배움과 옛 감성이 담긴 효창공원 🌟 공원카페 무화과, 말차맛집🍵 ・ y2k감성 카페🎧 ・ 초밥에 와인 혼술 한 잔🍷",2025-08-31T11:05:54Z,4580,75,18
효창동,4iWUGHoOQYs,서울기사식당 일신기사식당의 근황은? #효창공원맛집 #서울맛집,2025-01-16T00:47:04Z,4955,29,0
효창동,gZCKWuPFvNQ,저녁만 되면 지하에 줄을 서는 맛집,2025-01-31T03:46:41Z,4338,31,2
효창동,gEw-EdGUaLM,용산 기사식당 맛집 5곳 | 용산 기사식당 거리 맛집 투어,2025-06-12T10:01:48Z,3649,42,5
효창동,BvJIzx2jOuM,효창공원 핫플을 아시나요,2024-02-17T13:00:11Z,3765,19,3
효창동,AocG8LYaN2o,흑백요리사 셰프님들도 회식하는 용산 해장국 맛집 feat.15년 연속 블루리본 #용문해장국 #해장국 #용산맛집 #효창공원 #흑백요리사 #블루리본맛집,2025-12-23T10:38:45Z,6958,16,1
효창동,8qC-WHDpTvw,"5,000원 잔치국수 먹으러 갑니다 | 엄마가 해주신 그 맛이더라고요😭 | #국수 #가성비맛집 #용산구 #koreannoodles #잔치국수",2023-11-16T01:00:04Z,3206,45,5
효창동,3LL6lFVQCUQ,"[서울복층아파트] 1호선,경의선 용산역 + 6호선 효창공원앞역 인근 22평 3룸 복층! 막힘없는 거실+풀옵션 가전+1.6M 층고 / 전망좋은 용산구신축오피스텔 [이음주택2931]",2024-11-29T14:00:02Z,3060,36,7
효창동,P_0yGkxY3Yk,달인 맛집80 서울맛집 #용산구맛집 #효창동맛집 #우동맛집  #맛집 #달인 #생활의달인  #추천  #koreanfood  #food #짜장면,2024-08-02T02:00:12Z,3115,12,1
효창동,dGia5x8v-C4,효창공원 콜키지 프리 가성비 좋은 고깃집,2024-07-16T01:00:17Z,2916,16,5
효창동,8EFEhR_jpug,효창공원 빵집 맛집🤍 #shorts,2024-10-28T23:43:58Z,3497,15,2
효창동,RhowdZ-cO8Q,"유정수, 7년 내내 제자리걸음 버뮤다 삼각지대 효창공원 상권 #손대면핫플동네멋집 #SBSenter",2023-10-10T14:09:08Z,2764,4,1
효창동,CS36H3CcrHA,"마감이 끝난 후 시작한 새로운 취미🪡 | 일러스트레이터 브이로그, 프랑스 자수 배우기, 효창공원 맛집, 국립중앙박물관 전시",2025-04-20T01:40:21Z,2652,27,6
효창동,6xALLFLeV44,일신기사식당 #쇼츠 #맛집 #내돈내산 #효창공원,2024-08-06T03:22:32Z,2537,11,6
효창동,n0koR6-WCZw,서울 기사님들이 줄서서 먹는 3대 해장국 second : 효창공원 창성옥,2023-03-23T00:40:59Z,2451,31,6
효창동,QCO_Tq2z580,📣새로 발굴한! 나만 알고싶은! 용산 찐맛집 공개🫢 ((유명해져 아니 유명해지지마)),2023-03-07T12:40:33Z,2449,16,4
효창동,YL694dqFaXg,또먹TV_ 쯔양도 와볼만한 식당! 효창공원 일신식당,2025-06-26T01:00:29Z,2395,36,4
